iter	MultiRMSE
0	179.3670647
1	179.2232065
2	179.147254
3	178.9816866
4	178.8745401
5	178.7850966
6	178.7260883
7	178.6319899
8	178.5776093
9	178.5159343
10	178.4580169
11	178.4021016
12	178.324795
13	178.2904379
14	178.2097947
15	178.1591784
16	178.0909793
17	178.0431483
18	177.9658532
19	177.9228757
20	177.8497386
21	177.7917298
22	177.7448889
23	177.6952257
24	177.6377928
25	177.5914443
26	177.4906359
27	177.4252212
28	177.3966784
29	177.3364768
30	177.3083949
31	177.2317352
32	177.1792803
33	177.1235675
34	177.0659579
35	176.9927316
36	176.9045767
37	176.8667177
38	176.7877146
39	176.6897679
40	176.5996666
41	176.5119065
42	176.4160269
43	176.3124063
44	176.2283701
45	176.1830471
46	176.1236883
47	176.0410343
48	176.0148538
49	175.9297002
50	175.8356812
51	175.7647838
52	175.732263
53	175.703213
54	175.6116684
55	175.544405
56	175.452552
57	175.3624715
58	175.3241785
59	175.2573529
60	175.1625453
61	175.0737589
62	174.9956355
63	174.9769795
64	174.9085056
65	174.8133579
66	174.7972753
67	174.7330821
68	174.6417101
69	174.6286583
70	174.5746131
71	174.4842148
72	174.4704011
73	174.3893594
74	174.3062662
75	174.2282786
76	174.1647512
77	174.11089
78	174.0325601
79	173.9762555
80	173.9177555
81	173.8163871
82	173.7104244
83	173.6460722
84	173.5883042
85	173.5178832
86	173.4969068
87	173.4253498
88	173.3496684
89	173.2652623
90	173.2006388
91	173.1419541
92	173.0474475
