iter	Passed	Remaining
0	2104	523907
1	4562	565738
2	6934	570936
3	9376	576653
4	12412	608191
5	15036	611492
6	17588	610585
7	20030	605920
8	22192	594275
9	24624	590981
10	26942	585378
11	29285	580819
12	31572	575594
13	33658	567380
14	36214	567361
15	38733	566484
16	41293	565957
17	43898	565808
18	46067	560083
19	48210	554421
20	50308	548601
21	52417	543236
22	54523	538123
23	56384	530949
24	58474	526267
25	60630	522352
26	63199	521984
27	65207	517001
28	67060	511045
29	68889	505191
30	70792	500114
31	72614	494689
32	74691	491154
33	76810	487972
34	79040	485531
35	81360	483643
36	83667	481655
37	85981	479684
38	88314	477805
39	90658	475955
40	93137	474774
41	95406	472490
42	97601	469847
43	99801	467254
44	101981	464583
45	103871	460647
46	105949	457610
47	108264	455611
48	110049	451429
49	112131	448525
50	114337	446141
51	116470	443485
52	118397	440079
53	120213	436330
54	122134	433022
55	124327	430705
56	126446	428144
57	128351	424888
58	130190	421464
59	132029	418092
60	134152	415652
61	135949	412234
62	137991	409595
63	139656	405876
64	141642	403137
65	143859	401063
66	145553	397557
67	147568	394961
68	149532	392252
69	151640	389932
70	153995	388242
71	156638	387244
72	158653	384679
73	161177	383341
74	163978	382615
75	166466	381121
76	168447	378460
77	170223	375365
78	172369	373103
79	174553	370925
80	176643	368552
81	178951	366632
82	180953	364086
83	183152	361944
84	185102	359316
85	187227	357038
86	189223	354522
87	191494	352524
88	193764	350517
89	195880	348231
90	197845	345686
91	199892	343293
92	202155	341273
