,TSC22D1,KLF1,MAP2K6,CEBPE,RUNX1T1,MAML2,CBL,PTPN9,TGFBR2,ETS2,SGK1,TBX3,DUSP9,SPI1,ELMSAN1,UBASH3B,PTPN12,FOXA1,FOXA3,IGDCC3,BCORL1,MEIS1,GLB1L2,IKZF3,BAK1,FEV,MAP2K3,SLC38A2,SET,LHX1,TBX2,SLC4A1,RREB1,ZNF318,MAPK1,COL2A1,ZBTB25,MAP4K5,SLC6A9,MIDN,OSR2,DLX2,CBFA2T3,HES7,FOXL2,AHR,FOXO4,RHOXF2BB,S1PR2,POU3F2,LYL1,IER5L,CNN1,CELF2,JUN,CEBPA,MAP4K3,ZC3HAV1,CDKN1A,UBASH3A,PRTG,PTPN1,TP73,MAP7D1,FOSB,C19orf26,IRF1,TMSB4X,BPGM,SAMD1,HOXB9,HOXC13,CKS1B,CLDN6,KIF18B,KIF2C,BCL2L11,COL1A1,CEBPB,FOXF1,ZBTB1,PLK4,ARRDC3,C3orf72,KIAA1804,HNF4A,SNAI1,KMT2A,ISL2,CSRNP1,ARID1A,CNNM4,NCL,ZBTB10,STIL,ATL1,NIT1,CDKN1B,PTPN13,HOXA13,CITED1,PRDM1,HK2,CDKN1C,EGR1
TSC22D1,,,,,,,,,,,,,,,,,,,,,,,0.9412280701754386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KLF1,,,,,,,0.9660372464595114,0.9668477151141424,,,,,,,,0.9683268326612546,,0.9632275210394212,,0.9693290985759236,,0.9562279605409989,,,,0.9912473578075269,0.9499606601083477,,0.9825610791758912,,,,0.9574993145050728,,,,0.9567230849764439,,,,0.9782812847528276,0.983679108035747,0.9665988290782127,,0.9759332415289156,,,,,,,,0.9634489073588195,,,,,,,,0.9741986307697044,0.966636017791672,,,0.9559621549376451,,0.9932547299149986,,,,,0.9714532027717232,0.9660319224164057,0.9691841729912484,,,,,,0.9537022893158619,0.95738578554576,,,,,,,,,,,,,,,,,,,,,0.9699085766239013,,,
MAP2K6,,,,,,,,,,,,,,0.9658152734778123,0.8207805907172996,,,,,,,,,,,,0.6651796443162701,,,,,,,,,,,,,,,,0.9301661817861236,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9534371954191033,0.9383239171374764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8938983488132095,0.9533208020050126,,,
CEBPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9476311348079705,,,,,,,,,0.9487406446637338,,,,,,,,,,,,,,0.9641220203628249,,,,,,,,,,,,,,,,,,,,,,,,,,
RUNX1T1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9118373493975904,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAML2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CBL,,0.9727862219224983,,,,,,0.7513513513513513,,,0.9254242614707732,0.9476637654603756,,,,0.7250108844904385,0.8017587736990721,,,0.8833769994484281,,0.9046511627906978,,,,,0.9500140765765767,,,,0.9423002673002673,,,,,,0.7289533169533169,,,,0.9741445307968912,,0.9545022409344017,,,,,,,,,0.9222393822393822,0.8388679663269827,,,,,,0.9461835461835462,,0.917856626680156,0.7629698664181424,,,,,,,0.8496086250184611,,,0.9309512902733241,,,,,,,,,,,,,,,,,,,,,,,,0.7905626938413823,,0.9006413192853872,,,,0.940961740961741,,,
PTPN9,,0.9757830685669947,,,,,0.7388577827547592,,,,,0.9506431061425652,,0.9756181713628522,,0.7019138506466416,,,,0.9133630047763786,,,,,,,,,0.9670831023749626,,,,0.8921732522796352,,,,0.7532688588007737,,,,0.9753538489635649,0.9712900619445193,0.9473537902277344,,,,0.916909294512878,,,,,,0.8081910996804614,,,,,,,0.6951991271140208,,0.7281202017986401,0.914119922630561,,,,,,0.8548540867341007,,,,0.8858902575587906,,,,,0.9486088379705401,,0.9386880659648089,,,,,,,,,,,0.8946520989074179,,,,,0.8385071503313568,,0.9109628561125135,,,,,,,
TGFBR2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9020505520717116,,0.7883171152216475,,,,,,,,,
ETS2,,,,,,,,,,,,,,0.9492562756041902,,,,,,,,,,,,,,,,,,,,,0.8321798730403034,0.9522783877644087,,,,,,,,,,,,,0.9676540664989024,,,,,,,0.9687774605570687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SGK1,,,,,,,0.9245233605698722,,,,,0.9136266909864722,,,0.9666981382097661,0.9144219827892753,,,,,,0.9219848566792861,,0.9705953975404846,,,,,,,,,,,,,0.9031430584918957,,,,,,,,,,,,,,,0.9554817275747509,,,,,,,,,,,,,,0.9271128757799205,,,0.9162960138941839,,0.9676598837209301,0.9479700433582972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9687882496940023,,0.9277877161598093,
TBX3,,,,,,,0.9458466941517789,0.9432023079697078,,,0.9280948851000741,,,0.972743930371049,,0.9364034661955333,,,,,,,,,,0.9883530271435954,,,0.9726401956455284,0.9872087856281344,0.8236454018227009,,,,,,0.9303354673495517,,,,,,,,,,0.9264049955396967,,,,,,,,,,,,0.9553920655615571,0.9101209823040809,,,0.9107601438109912,,,,,,0.9431386130993613,,,,,,,,,0.9521126760563381,,0.9253318475944715,,,,,,0.8882394366197183,0.9454906860517948,,,,0.9437402190923319,,,,,0.9252828446086354,,0.8810455956075436,,,,,,0.9084745762711863,
DUSP9,,,,,,,,,,,,,,,,,,,,,,,,0.9531846632287524,,,,,,,,,,,0.9616095840249975,,,,,,,,,,0.945556411805136,,,0.9430896319746735,,,,,0.9126018363306498,,,,,,,,0.9012293002444762,,,,,0.8686785172936475,,,,0.9267359212684527,,0.8910836413066564,,0.8665873723857667,,,,,,,0.9044404513298689,,,,,,,,,,,,,,,0.8002896585726611,,,,,,0.9295854768500198,,,
SPI1,,,0.9553622418487284,,,,,0.9599539965497412,,0.9470952132193231,,0.9772484348755536,,,,0.9432804363997025,,,,,,,,,,,,0.9563807285546416,0.9793099712939392,,,0.9702544649913072,,,,0.9857595526561045,,,,0.9735029146793852,,,0.9349449952465029,,,,0.9207681365576103,,,,,,,,,0.9321515063450547,,,,,,,,,0.8980048110938164,,,,,,,,,,,,,0.9317435082140965,0.9213425815195727,,,,,,,0.915,,,,,0.9659159159159159,,,,,0.9344262295081968,,0.9402656894182317,,,,,,0.9438669438669438,
ELMSAN1,,,0.8658867242418156,,,,,,,,0.9748973033856755,,,,,,,,,,,0.9241701451003776,0.9046052631578948,,,,0.8152863396765836,,0.9797757908980353,,,,,,,,,,,,,,0.9541188850234076,,,,,0.9721244623205407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UBASH3B,,0.9669742379686207,,,,,0.6820273725372237,0.6444199904758228,,,0.9048209586800371,0.9404708745089665,,0.944290850483511,,,0.7149906598383322,,,0.8737976268489047,,0.8304019095370174,,0.945667884109078,,,0.9259425172018348,,0.9643323343935578,,,,0.7908075601374571,,,,0.7426814084366752,,,,0.92525430305718,,0.9240417436552752,,0.9223869041386247,,0.8484729599227426,,,,,0.8838073394495413,0.8286479961371319,,,,,,0.9146083274523642,0.6617012580044507,0.9014742677721631,0.6788155998453373,,,,,,,0.7897645829029976,,,,,,,,,,,0.885948065140789,,,0.7265707861355055,,,0.8568155784650631,,,,,0.8820796741758941,,,,,0.7775148817906973,,0.849874774302522,,,,0.9289051666968107,,0.8469654199011997,
PTPN12,,,,,,,0.8120339653650668,,,,,,,,,0.7282330502533192,,,,,,,,,,,,,,,0.9407302129216137,,,,,,,,,,0.9524407158079904,,,,,,,,,,,,0.805502634212759,,,,,,,,0.910273906561742,0.7861157748740785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9130521941974049,,,
FOXA1,,0.9325302469621815,,,,,,,,,,,,,,,,,0.7893735130848533,,,0.87262969588551,,,,,,,0.9776476028981039,,,,,,,,,,,,0.9548090678991966,,,,,,,,,,,,,,,,,,,,,,,,,0.8919949968730458,0.9860815277267719,,,,,,,0.8917678812415655,,,,,,0.816129375465475,,,,,,,,,,,,,,,,,,,0.8982336182336182,,,,,,
FOXA3,,,,,,,,,,,,,,,,,,0.7945713583886023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9168478260869565,,,,,,,,,,,,,,,,
IGDCC3,,0.9739312064640595,,,,,0.9000413678985107,0.8924229266174555,,,,,,,,0.8814565390376334,,,,,,0.8919227574750832,,,,,,,,,,,,,,,0.8620448179271709,,,,,,,,,,,0.9379195757250268,,,,,0.9167861124382864,,,,,,,,0.6401901669758813,,,,,,,,0.8979173636667781,,,0.9234261501210654,,0.8677329484425349,,,,,,,,,,,,,,,,,,0.9054761904761904,,,,0.7966293074606892,,0.9290254237288136,,,,0.9387755102040817,,,
BCORL1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8179831218505252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEIS1,,0.9550395036379057,,,,,0.8920961659333754,,,,0.9169596178114295,,,,0.9300337904989068,0.8307152762961382,,0.8596004770423376,,0.8881703844328429,,,,,,,0.9151526162790697,,,,,,,,,,,,,,,,0.8954072689026528,,,,,,,,,0.8440863787375416,,,,,,,,,,,,,,0.7376063528077141,,,,,0.906795058139535,0.8551110235185916,,0.8912561199510404,,,,,,,,,,,,,,,0.8255048959608323,,,,,,,,,,,,,0.9084113560857746,,,
GLB1L2,0.9089473684210526,,,,,,,,,,,,,,0.9162730544309491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.914274322169059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IKZF3,,,,,,,,,,,0.9726957262875928,,0.9414537653033106,,,0.9340362114151719,,,,,,,,,,,,,,,0.9721822679937864,,,,,,0.9494050452165635,,,,,,,,0.9570637119113573,,,,,,,0.9477486910994765,,,,,,,,,,,,,,,,,,0.954681078646625,,,,0.9450434003857812,,,,,,,0.9420933407341844,,,,,,,,,,0.9373368146214098,,,,,,,,,,,0.9267015706806283,,0.9376157873540072,0.8845651737296645
BAK1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FEV,,0.982725527831094,,,,,,,,,,0.9896273325135005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9891031746725272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
