,TSC22D1,ctrl,MAML2,CEBPE,DUSP9,ELMSAN1,FOXA1,BCORL1,MEIS1,GLB1L2,KLF1,BAK1,FEV,CBL,ETS2,SET,TBX3,LHX1,SLC4A1,RREB1,ZNF318,COL2A1,ZBTB25,MAP4K5,UBASH3B,SLC6A9,MIDN,DLX2,CBFA2T3,HES7,AHR,FOXO4,RHOXF2BB,RUNX1T1,S1PR2,POU3F2,CNN1,CELF2,MAP2K3,MAP4K3,CDKN1A,PTPN1,TBX2,IER5L,PTPN12,TP73,MAP7D1,FOSB,MAPK1,C19orf26,IRF1,IKZF3,HOXB9,HOXC13,CKS1B,CLDN6,FOXA3,SAMD1,COL1A1,FOXF1,ZBTB1,PRTG,PLK4,BPGM,ARRDC3,C3orf72,LYL1,MAP2K6,SGK1,FOXL2,KIAA1804,CEBPA,HNF4A,KMT2A,IGDCC3,ISL2,TMSB4X,KIF2C,CSRNP1,ARID1A,CNNM4,UBASH3A,NCL,BCL2L11,ZC3HAV1,OSR2,SPI1,STIL,CEBPB,ATL1,NIT1,CDKN1B,TGFBR2,JUN,ZBTB10,PTPN13,SLC38A2,PTPN9,SNAI1,HOXA13,CITED1,PRDM1,HK2,KIF18B,EGR1,CDKN1C
TSC22D1,20,9,4,4,7,5,6,4,7,4,6,7,5,4,5,5,6,4,8,2,6,4,3,1,3,4,4,6,9,1,2,4,6,9,3,5,4,8,5,5,5,6,7,8,4,6,3,9,4,5,4,9,1,5,7,9,6,5,3,3,6,4,0,8,4,6,7,4,4,7,4,4,6,3,4,7,7,8,7,7,7,8,5,5,8,9,4,1,7,7,5,3,4,4,3,4,5,3,5,4,3,11,2,2,4,5
ctrl,9,20,11,3,5,10,5,7,7,4,9,16,7,5,7,5,5,3,6,3,6,4,3,3,5,3,5,7,7,4,4,7,10,12,2,3,4,8,13,3,6,11,5,8,5,10,12,8,5,5,3,9,3,7,7,8,4,8,4,7,6,6,0,6,6,7,7,12,7,5,3,2,8,3,6,12,8,14,14,8,6,9,7,13,11,8,4,2,5,9,6,3,9,6,4,3,11,5,2,6,3,9,4,2,3,5
MAML2,4,11,20,1,2,12,3,6,5,2,5,15,4,5,4,6,2,1,5,2,8,2,7,4,6,2,8,2,2,7,7,4,6,6,2,2,4,0,16,4,5,8,2,4,6,6,12,3,3,9,3,4,4,6,5,4,3,2,2,4,4,3,0,8,4,5,5,14,5,2,0,3,8,3,3,8,5,8,13,8,5,4,4,14,8,3,7,0,4,4,8,4,12,6,4,2,11,6,3,7,3,4,4,2,5,5
CEBPE,4,3,1,20,7,4,5,2,5,4,4,3,6,7,6,5,5,4,6,6,5,4,5,4,5,4,4,4,6,5,3,2,4,4,5,4,4,9,1,3,3,2,5,7,6,3,1,9,7,6,2,6,7,6,3,5,5,3,4,4,7,7,0,5,4,4,5,1,3,6,3,12,3,1,7,2,3,5,4,2,7,5,5,0,3,6,6,1,10,6,4,5,3,1,4,3,3,6,5,6,3,5,2,2,4,3
DUSP9,7,5,2,7,20,5,7,2,6,3,6,5,6,8,8,3,7,4,5,6,4,3,4,5,5,6,5,5,8,5,2,5,5,7,4,5,6,7,2,3,4,4,7,10,4,6,2,7,8,8,3,9,3,5,2,11,7,4,3,5,6,7,0,7,2,4,6,3,4,5,3,6,5,1,9,4,4,5,6,3,9,5,5,2,4,6,2,1,5,12,3,5,3,2,5,3,3,2,4,7,1,6,2,1,2,3
ELMSAN1,5,10,12,4,5,20,4,4,4,5,7,11,4,7,5,4,1,1,3,2,8,2,5,5,6,1,7,2,3,6,2,5,5,6,4,2,5,1,11,3,3,7,5,6,6,6,7,3,4,6,4,5,4,6,4,5,4,4,2,6,7,3,0,5,3,5,6,10,6,3,2,5,6,2,4,9,3,9,11,8,4,6,6,11,9,4,9,1,6,6,5,2,12,5,3,3,9,6,4,7,2,6,4,0,3,3
FOXA1,6,5,3,5,7,4,20,2,3,4,2,4,6,5,6,4,6,4,5,4,3,3,3,5,6,4,4,4,4,6,2,4,4,5,5,5,4,7,3,1,2,3,5,7,2,3,1,6,5,6,4,6,2,4,2,6,12,6,2,7,7,5,0,6,3,4,4,1,4,4,3,5,3,0,7,3,2,5,5,3,5,6,2,3,2,4,4,1,9,6,2,3,4,1,4,3,3,4,4,6,1,3,2,1,1,3
BCORL1,4,7,6,2,2,4,2,20,4,3,6,8,1,4,6,2,4,3,3,3,4,3,6,2,4,4,4,5,6,1,3,1,4,8,4,3,5,2,7,2,5,6,4,5,6,2,7,4,4,3,4,5,6,3,5,4,3,3,1,5,5,1,0,6,3,6,3,8,3,6,1,1,2,1,3,5,3,5,6,4,2,4,4,6,5,4,1,2,2,3,4,4,6,5,4,2,5,2,3,2,0,6,3,0,5,2
MEIS1,7,7,5,5,6,4,3,4,20,5,6,8,8,5,7,4,5,5,6,5,5,3,4,2,5,4,2,5,8,2,4,5,3,6,4,8,6,5,7,5,5,7,5,7,5,10,7,5,5,8,3,7,4,3,5,9,2,7,6,2,6,4,0,7,4,4,6,7,3,5,2,4,7,4,5,8,5,7,6,6,6,9,4,6,9,8,5,1,3,8,8,5,4,4,2,4,7,4,4,2,3,9,4,2,4,4
GLB1L2,4,4,2,4,3,5,4,3,5,15,4,3,3,6,6,3,3,4,4,5,6,5,3,3,4,2,2,4,4,2,3,3,1,4,3,2,5,2,2,4,2,4,4,4,4,2,1,5,4,4,3,4,3,2,1,4,3,6,3,4,5,2,0,5,4,2,7,2,5,5,2,4,4,2,3,4,2,5,3,3,3,8,5,2,3,3,3,0,3,4,3,5,4,2,0,3,4,5,5,1,1,7,4,1,2,4
KLF1,6,9,5,4,6,7,2,6,6,4,20,8,5,6,10,1,3,5,6,5,5,3,4,3,3,2,6,6,9,4,2,7,5,7,5,1,6,6,6,4,3,8,5,3,4,5,5,5,7,5,3,6,7,3,6,8,4,5,5,7,7,4,0,5,3,4,6,7,4,7,3,2,8,3,5,9,3,7,7,6,4,7,7,5,7,8,5,0,4,8,6,3,7,6,4,3,9,2,5,2,2,8,3,0,3,3
BAK1,7,16,15,3,5,11,4,8,8,3,8,20,6,4,6,5,4,1,7,2,6,3,3,3,4,4,5,4,6,5,6,5,8,10,3,3,3,4,17,2,8,10,4,8,3,9,14,5,5,9,2,8,3,6,5,8,4,5,3,6,7,6,0,9,4,7,5,16,6,4,1,2,9,2,6,11,5,11,14,8,7,6,6,14,10,6,5,1,5,8,9,4,11,6,4,3,13,4,3,6,2,7,3,1,5,6
FEV,5,7,4,6,6,4,6,1,8,3,5,6,20,6,6,4,5,4,5,3,4,6,2,4,5,4,5,8,7,5,3,5,5,6,2,5,3,8,6,2,3,5,4,6,3,5,5,8,6,8,4,5,3,4,3,4,4,4,6,5,7,7,0,5,4,2,6,4,4,5,3,6,8,3,7,6,3,8,5,8,8,8,3,5,4,8,3,1,7,8,6,4,4,1,3,2,4,3,4,3,3,4,2,4,3,2
CBL,4,5,5,7,8,7,5,4,5,6,6,4,6,20,10,4,4,5,6,7,7,5,11,8,14,2,8,5,8,8,5,5,6,4,5,5,11,5,3,5,3,4,7,7,11,2,2,5,9,6,6,4,7,6,2,6,3,6,6,4,7,6,0,7,6,2,10,3,8,3,2,6,1,0,7,3,2,6,5,5,4,8,3,4,4,6,5,1,6,7,2,5,6,4,3,6,3,7,6,5,5,7,5,3,6,3
ETS2,5,7,4,6,8,5,6,6,7,6,10,6,6,10,20,3,5,5,6,10,7,4,7,8,7,3,5,6,9,6,4,3,5,9,6,5,9,7,4,7,2,6,5,5,7,5,2,7,16,9,6,8,6,4,3,11,5,7,5,8,8,5,0,8,5,4,8,3,6,7,2,5,4,1,7,7,5,7,5,4,5,9,7,4,5,9,5,0,7,6,3,5,6,5,3,4,4,4,5,4,1,7,5,0,3,3
SET,5,5,6,5,3,4,4,2,4,3,1,5,4,4,3,20,4,1,7,2,3,5,6,4,2,4,1,3,5,3,6,4,4,7,2,2,3,5,5,3,5,5,4,4,7,3,6,5,3,6,3,6,3,3,4,3,3,2,4,2,6,7,0,7,6,2,5,5,3,0,2,4,3,1,3,5,5,6,4,1,7,5,2,3,5,4,3,1,4,2,6,6,4,2,1,1,6,4,3,4,2,5,4,4,5,5
TBX3,6,5,2,5,7,1,6,4,5,3,3,4,5,4,5,4,20,4,4,5,4,5,5,2,4,3,0,8,8,2,3,1,5,8,1,5,6,7,2,3,2,2,7,8,4,6,2,8,5,5,4,6,3,5,2,5,3,3,4,4,5,4,0,6,6,4,6,1,3,4,2,5,2,3,8,2,5,8,6,4,6,6,3,3,6,5,1,1,5,5,2,3,3,2,4,2,2,4,4,3,3,4,2,3,6,1
LHX1,4,3,1,4,4,1,4,3,5,4,5,1,4,5,5,1,4,20,4,7,5,2,5,4,6,2,2,7,6,2,4,4,4,3,4,3,8,5,1,4,3,5,5,5,4,4,2,5,4,4,4,5,5,2,5,5,4,6,2,6,4,3,0,3,4,4,5,2,3,7,4,3,2,2,4,6,2,3,2,5,3,5,3,2,3,4,3,2,3,6,3,5,2,3,6,3,2,4,5,2,3,5,4,2,3,1
SLC4A1,8,6,5,6,5,3,5,3,6,4,6,7,5,6,6,7,4,4,20,5,3,6,5,2,5,4,3,5,6,2,7,7,7,4,5,3,4,6,5,3,7,5,7,8,5,4,3,4,6,5,7,6,4,4,7,7,6,6,4,4,7,6,0,7,4,4,6,5,2,7,3,3,7,3,4,6,6,6,5,5,6,4,4,4,6,6,3,0,6,5,6,7,4,5,4,3,9,1,8,5,3,9,1,4,8,6
RREB1,2,3,2,6,6,2,4,3,5,5,5,2,3,7,10,2,5,7,5,20,6,3,5,7,5,2,1,4,5,4,3,3,2,4,6,1,7,5,1,5,3,3,4,4,4,3,1,6,9,9,5,5,5,1,3,6,3,6,2,5,4,3,0,5,3,2,6,1,2,5,2,5,2,2,7,3,4,3,2,2,4,4,3,2,2,4,3,0,4,5,2,5,5,3,2,5,3,3,4,2,3,6,5,2,5,5
ZNF318,6,6,8,5,4,8,3,4,5,6,5,6,4,7,7,3,4,5,3,6,20,1,6,6,6,3,6,3,3,5,5,2,4,6,3,2,6,4,6,7,4,2,4,4,7,4,2,8,7,6,4,3,5,4,3,5,5,3,1,3,3,4,0,6,3,6,9,4,3,5,1,6,4,1,5,4,3,5,7,5,4,8,2,8,7,4,6,1,6,3,4,2,9,4,5,5,4,5,2,4,1,6,4,0,3,5
COL2A1,4,4,2,4,3,2,3,3,3,5,3,3,6,5,4,5,5,2,6,3,1,20,4,3,4,3,3,8,7,5,2,2,5,6,4,4,5,4,2,1,2,3,3,5,5,1,3,4,5,3,3,4,3,3,3,4,2,3,9,4,4,3,0,5,3,1,4,2,5,4,2,2,3,3,4,3,4,7,4,5,5,4,4,1,3,5,0,0,3,4,3,4,1,1,2,2,4,3,8,1,3,7,2,3,8,1
ZBTB25,3,3,7,5,4,5,3,6,4,3,4,3,2,11,7,6,5,5,5,5,6,4,20,6,11,4,5,5,6,8,5,1,4,4,4,3,11,5,3,6,4,5,7,8,12,2,2,5,6,4,5,5,7,4,6,4,2,3,5,6,7,2,0,9,4,3,9,4,3,2,1,5,0,1,4,4,4,4,6,4,2,4,3,3,3,6,4,1,5,2,3,7,5,5,4,5,3,5,7,4,4,7,6,2,6,2
MAP4K5,1,3,4,4,5,5,5,2,2,3,3,3,4,8,8,4,2,4,2,7,6,3,6,18,8,2,1,2,3,5,2,2,1,2,4,5,6,2,3,5,1,0,2,2,5,2,1,3,9,9,5,0,2,2,0,4,3,1,2,4,3,4,0,3,5,1,6,2,3,1,1,6,0,0,5,1,3,4,2,2,1,5,1,4,2,3,5,1,6,4,1,3,6,2,1,3,0,5,1,2,0,1,6,1,4,2
UBASH3B,3,5,6,5,5,6,6,4,5,4,3,4,5,14,7,2,4,6,5,5,6,4,11,8,20,4,7,5,5,7,4,1,4,3,5,5,11,4,4,5,2,5,8,6,12,2,3,4,6,5,6,2,7,7,2,5,4,6,5,6,5,4,0,7,5,3,6,4,6,3,2,5,0,0,6,4,3,5,5,5,3,6,2,5,3,7,6,1,8,5,3,4,6,4,6,6,1,10,5,5,4,6,7,2,5,1
SLC6A9,4,3,2,4,6,1,4,4,4,2,2,4,4,2,3,4,3,2,4,2,3,3,4,2,4,20,3,3,3,3,3,2,3,4,2,5,4,6,3,1,4,4,5,6,3,5,3,4,3,5,4,5,3,4,3,5,5,5,3,3,4,5,0,7,1,5,2,3,3,5,0,4,3,0,5,3,2,2,4,2,5,3,2,1,3,6,0,0,4,7,8,4,1,3,5,2,4,1,3,4,1,4,1,0,2,2
MIDN,4,5,8,4,5,7,4,4,2,2,6,5,5,8,5,1,0,2,3,1,6,3,5,1,7,3,20,3,4,9,3,3,7,5,3,3,3,3,5,2,3,5,3,5,6,3,3,4,3,1,2,5,9,8,2,5,6,4,3,5,3,5,0,3,3,7,2,4,8,7,1,3,5,0,4,6,2,5,8,5,5,5,4,5,4,4,3,0,3,6,2,2,7,5,5,3,5,7,4,8,5,5,2,0,3,3
DLX2,6,7,2,4,5,2,4,5,5,4,6,4,8,5,6,3,8,7,5,4,3,8,5,2,5,3,3,20,10,4,2,3,7,8,5,4,6,9,2,2,5,7,5,7,5,3,3,7,4,2,5,8,3,3,6,6,3,6,6,8,7,7,0,8,6,4,7,2,5,7,4,3,5,3,6,8,5,11,5,8,6,7,6,3,6,7,1,2,5,6,2,7,1,4,4,2,3,2,8,1,4,9,3,4,6,2
CBFA2T3,9,7,2,6,8,3,4,6,8,4,9,6,7,8,9,5,8,6,6,5,3,7,6,3,5,3,4,10,20,4,6,3,7,11,6,6,8,8,3,3,4,6,7,10,7,5,3,9,7,6,5,10,4,5,3,10,3,5,5,7,9,6,0,9,4,3,6,3,5,5,3,4,3,1,6,7,5,9,6,6,7,8,5,3,6,8,1,2,6,8,3,5,2,4,2,5,2,4,6,3,5,10,3,2,6,2
HES7,1,4,7,5,5,6,6,1,2,2,4,5,5,8,6,3,2,2,2,4,5,5,8,5,7,3,9,4,4,20,6,3,6,4,4,4,6,4,5,3,3,4,4,6,6,4,3,5,5,5,3,5,6,7,1,5,5,3,4,9,6,5,0,5,2,4,5,3,7,4,1,5,5,0,6,4,2,5,6,4,6,4,4,4,2,3,4,0,5,5,3,5,5,3,7,3,5,5,6,7,5,4,6,1,5,4
AHR,2,4,7,3,2,2,2,3,4,3,2,6,3,5,4,6,3,4,7,3,5,2,5,2,4,3,3,2,6,6,20,5,3,3,2,3,6,2,7,2,5,5,4,6,8,4,5,5,4,6,6,2,3,6,2,4,2,4,2,4,4,5,0,7,3,4,3,5,4,4,0,4,6,1,2,3,4,2,4,3,4,3,3,4,3,2,1,1,2,2,6,4,2,4,4,3,5,4,2,4,3,2,2,1,6,5
FOXO4,4,7,4,2,5,5,4,1,5,3,7,5,5,5,3,4,1,4,7,3,2,2,1,2,1,2,3,3,3,3,5,20,4,2,1,2,2,4,5,2,5,8,3,3,1,4,6,3,3,3,4,3,1,4,6,4,5,3,5,3,4,4,0,1,2,2,5,5,3,5,4,0,10,3,2,6,2,3,3,6,3,3,2,5,4,5,3,1,1,7,6,4,2,1,3,3,8,0,5,5,2,5,1,2,1,4
RHOXF2BB,6,10,6,4,5,5,4,4,3,1,5,8,5,6,5,4,5,4,7,2,4,5,4,1,4,3,7,7,7,6,3,4,20,9,4,3,3,8,5,1,6,6,5,9,4,8,5,6,5,1,2,9,5,7,5,7,4,9,5,6,6,7,0,6,8,7,5,5,8,6,3,1,4,1,5,7,6,11,10,8,7,7,5,6,9,6,1,2,3,8,1,4,4,5,7,2,9,3,6,7,5,8,1,4,5,4
RUNX1T1,9,12,6,4,7,6,5,8,6,4,7,10,6,4,9,7,8,3,4,4,6,6,4,2,3,4,5,8,11,4,3,2,9,20,4,3,5,9,7,3,6,8,5,10,5,7,7,9,7,4,2,13,5,6,5,11,5,6,4,8,8,6,0,8,5,7,5,7,6,6,2,3,5,0,6,10,6,11,11,6,9,10,6,8,8,8,2,2,5,7,3,4,7,4,4,2,6,5,4,6,2,10,5,1,4,3
S1PR2,3,2,2,5,4,4,5,4,4,3,5,3,2,5,6,2,1,4,5,6,3,4,4,4,5,2,3,5,6,4,2,1,4,4,20,2,6,5,1,2,4,4,5,4,5,4,1,2,5,3,4,6,3,1,2,7,4,7,3,7,8,5,0,6,3,4,4,2,3,7,1,3,2,0,4,5,2,4,2,3,5,4,4,1,3,6,5,0,5,3,2,5,4,3,3,2,3,4,6,2,1,8,2,0,4,3
POU3F2,5,3,2,4,5,2,5,3,8,2,1,3,5,5,5,2,5,3,3,1,2,4,3,5,5,5,3,4,6,4,3,2,3,3,2,19,6,3,3,3,2,1,3,7,3,7,1,5,4,5,3,4,3,4,2,5,4,3,2,1,3,4,0,3,4,2,5,2,6,3,2,4,2,1,4,1,3,4,3,5,4,5,1,3,5,5,3,1,3,7,2,3,2,3,3,2,1,4,3,3,4,5,2,2,5,1
CNN1,4,4,4,4,6,5,4,5,6,5,6,3,3,11,9,3,6,8,4,7,6,5,11,6,11,4,3,6,8,6,6,2,3,5,6,6,20,4,3,5,3,7,7,8,11,5,3,5,8,6,8,5,6,4,4,7,2,7,5,6,7,2,0,7,3,3,9,4,7,4,1,5,2,1,5,5,3,3,3,6,3,6,3,3,5,7,5,1,6,3,3,6,4,5,3,5,2,6,5,2,3,9,5,1,6,2
CELF2,8,8,0,9,7,1,7,2,5,2,6,4,8,5,7,5,7,5,6,5,4,4,5,2,4,6,3,9,8,4,2,4,8,9,5,3,4,20,1,2,5,6,8,8,4,5,2,12,7,3,3,10,4,4,6,9,6,8,4,8,8,8,0,7,5,6,7,1,4,8,3,5,4,1,6,7,6,8,5,3,9,8,5,2,5,11,1,2,8,7,5,4,0,4,4,4,4,2,5,5,3,9,2,3,3,4
MAP2K3,5,13,16,1,2,11,3,7,7,2,6,17,6,3,4,5,2,1,5,1,6,2,3,3,4,3,5,2,3,5,7,5,5,7,1,3,3,1,20,2,6,9,3,5,3,7,15,3,3,9,2,5,2,6,5,5,3,3,2,4,5,3,0,6,3,5,4,17,5,2,0,3,9,2,3,8,4,8,12,8,5,4,4,14,9,5,7,0,4,5,8,3,11,5,4,2,11,5,1,6,2,4,4,1,4,4
MAP4K3,5,3,4,3,3,3,1,2,5,4,4,2,2,5,7,3,3,4,3,5,7,1,6,5,5,1,2,2,3,3,2,2,1,3,2,3,5,2,2,12,0,2,2,2,6,3,1,5,6,5,4,3,3,2,2,3,2,1,2,1,2,1,0,4,1,1,7,2,2,3,2,4,3,2,2,3,4,3,2,3,3,4,4,3,3,5,4,0,3,1,3,3,5,4,2,2,2,2,4,3,3,5,4,1,2,2
CDKN1A,5,6,5,3,4,3,2,5,5,2,3,8,3,3,2,5,2,3,7,3,4,2,4,1,2,4,3,5,4,3,5,5,6,6,4,2,3,5,6,0,20,8,5,8,2,5,7,4,2,2,1,7,4,2,7,5,4,5,3,4,5,6,0,7,3,6,3,8,3,5,1,0,5,0,4,7,2,4,5,5,5,3,3,6,6,5,1,2,2,4,4,14,3,4,3,2,7,0,4,3,3,8,1,2,4,15
PTPN1,6,11,8,2,4,7,3,6,7,4,8,10,5,4,6,5,2,5,5,3,2,3,5,0,5,4,5,7,6,4,5,8,6,8,4,1,7,6,9,2,8,20,7,7,7,7,13,6,3,4,3,9,4,5,9,7,3,9,6,9,7,4,0,8,3,6,3,12,7,6,2,0,9,3,3,12,4,7,6,9,5,4,8,6,8,10,4,1,3,7,7,8,4,6,4,3,11,3,5,4,3,9,3,1,2,4
TBX2,7,5,2,5,7,5,5,4,5,4,5,4,4,7,5,4,7,5,7,4,4,3,7,2,8,5,3,5,7,4,4,3,5,5,5,3,7,8,3,2,5,7,20,7,7,4,2,5,5,4,5,6,2,6,4,8,5,8,3,5,8,4,0,8,4,2,5,3,3,4,1,3,2,2,6,4,3,5,5,4,5,5,5,2,5,9,3,0,6,6,4,5,2,4,6,5,4,5,6,5,3,8,4,2,4,4
IER5L,8,8,4,7,10,6,7,5,7,4,3,8,6,7,5,4,8,5,8,4,4,5,8,2,6,6,5,7,10,6,6,3,9,10,4,7,8,8,5,2,8,7,7,20,6,9,4,8,5,4,5,12,5,6,6,9,6,7,4,8,9,6,0,8,4,8,6,6,7,7,2,5,3,1,6,7,4,8,9,7,7,7,5,5,7,7,0,2,5,8,2,7,4,5,4,5,7,3,6,7,5,10,3,2,8,4
PTPN12,4,5,6,6,4,6,2,6,5,4,4,3,3,11,7,7,4,4,5,4,7,5,12,5,12,3,6,5,7,6,8,1,4,5,5,3,11,4,3,6,2,7,7,6,20,3,3,6,6,3,7,3,7,6,5,4,1,4,6,5,6,4,0,8,4,4,8,4,4,4,2,6,1,2,3,4,5,6,5,4,3,5,5,3,6,7,5,1,5,2,4,5,4,7,4,6,3,8,5,5,3,7,5,2,6,2
TP73,6,10,6,3,6,6,3,2,10,2,5,9,5,2,5,3,6,4,4,3,4,1,2,2,2,5,3,3,5,4,4,4,8,7,4,7,5,5,7,3,5,7,4,9,3,20,7,5,4,5,4,8,2,5,5,8,2,7,3,4,4,5,0,4,5,7,5,7,6,4,0,3,6,3,6,9,5,7,9,6,7,6,5,7,10,7,5,1,3,9,6,3,5,6,4,2,9,5,1,5,4,7,3,0,3,4
MAP7D1,3,12,12,1,2,7,1,7,7,1,5,14,5,2,2,6,2,2,3,1,2,3,2,1,3,3,3,3,3,3,5,6,5,7,1,1,3,2,15,1,7,13,2,4,3,7,20,3,1,6,1,6,3,5,6,4,1,4,5,5,3,3,0,4,3,6,1,17,6,2,0,0,9,2,2,10,4,7,9,7,6,2,5,10,8,5,5,2,2,5,8,5,8,4,3,0,12,4,1,4,3,4,2,2,2,3
FOSB,9,8,3,9,7,3,6,4,5,5,5,5,8,5,7,5,8,5,4,6,8,4,5,3,4,4,4,7,9,5,5,3,6,9,2,5,5,12,3,5,4,6,5,8,6,5,3,20,8,6,3,8,4,7,5,6,6,5,3,7,5,5,0,7,4,5,7,2,4,6,3,8,5,2,8,6,7,7,7,6,8,8,4,3,5,10,2,2,9,7,3,3,3,4,5,5,3,4,4,5,3,7,3,2,3,3
MAPK1,4,5,3,7,8,4,5,4,5,4,7,5,6,9,16,3,5,4,6,9,7,5,6,9,6,3,3,4,7,5,4,3,5,7,5,4,8,7,3,6,2,3,5,5,6,4,1,8,20,9,6,5,3,3,2,9,4,4,5,5,6,5,0,6,2,2,7,2,4,5,1,6,3,1,7,4,4,5,4,3,5,7,5,3,4,9,5,0,8,4,3,4,5,3,3,5,3,2,4,3,0,5,4,0,4,3
C19orf26,5,5,9,6,8,6,6,3,8,4,5,9,8,6,9,6,5,4,5,9,6,3,4,9,5,5,1,2,6,5,6,3,1,4,3,5,6,3,9,5,2,4,4,4,3,5,6,6,9,20,4,5,2,3,2,8,4,2,2,3,5,5,0,9,2,2,6,7,5,2,1,6,6,3,9,4,3,5,5,5,7,5,4,6,4,5,7,0,7,9,8,3,8,2,2,4,6,5,2,3,1,3,4,2,5,4
IRF1,4,3,3,2,3,4,4,4,3,3,3,2,4,6,6,3,4,4,7,5,4,3,5,5,6,4,2,5,5,3,6,4,2,2,4,3,8,3,2,4,1,3,5,5,7,4,1,3,6,4,20,1,2,4,2,4,4,4,3,3,5,2,0,4,4,3,4,1,4,4,0,4,3,2,3,2,5,3,1,6,3,4,3,2,4,5,3,1,6,1,6,3,3,5,2,3,3,2,4,3,2,5,2,1,5,2
IKZF3,9,9,4,6,9,5,6,5,7,4,6,8,5,4,8,6,6,5,6,5,3,4,5,0,2,5,5,8,10,5,2,3,9,13,6,4,5,10,5,3,7,9,6,12,3,8,6,8,5,5,1,20,5,6,6,14,5,7,3,9,11,6,0,8,6,8,7,6,7,7,3,3,6,1,6,12,6,10,9,5,10,7,8,5,7,8,2,2,4,8,3,7,4,4,5,3,7,3,7,8,4,11,4,2,3,3
HOXB9,1,3,4,7,3,4,2,6,4,3,7,3,3,7,6,3,3,5,4,5,5,3,7,2,7,3,9,3,4,6,3,1,5,5,3,3,6,4,2,3,4,4,2,5,7,2,3,4,3,2,2,5,20,6,5,4,4,4,3,6,3,3,0,4,5,8,2,4,5,7,1,3,2,0,4,4,2,3,5,3,3,5,2,2,4,2,4,1,4,4,3,5,5,5,5,2,5,5,5,6,5,5,3,1,4,3
HOXC13,5,7,6,6,5,6,4,3,3,2,3,6,4,6,4,3,5,2,4,1,4,3,4,2,7,4,8,3,5,7,6,4,7,6,1,4,4,4,6,2,2,5,6,6,6,5,5,7,3,3,4,6,6,20,1,6,4,5,4,5,5,4,0,4,6,5,3,4,8,5,2,4,5,1,5,5,5,7,9,5,6,5,4,5,5,6,4,0,7,5,3,1,4,4,8,1,4,8,3,15,5,4,3,1,2,1
CKS1B,7,7,5,3,2,4,2,5,5,1,6,5,3,2,3,4,2,5,7,3,3,3,6,0,2,3,2,6,3,1,2,6,5,5,2,2,4,6,5,2,7,9,4,6,5,5,6,5,2,2,2,6,5,1,20,4,3,3,5,4,4,1,0,5,3,5,4,7,1,5,1,2,6,5,2,9,4,5,5,6,3,2,3,4,8,7,4,1,2,4,5,6,3,4,3,2,8,0,5,2,2,7,2,2,5,3
