,AHR,ARID1A,ARRDC3,ATL1,BAK1,BCL2L11,BCORL1,BPGM,C19orf26,C3orf72,CBFA2T3,CBL,CDKN1A,CDKN1B,CDKN1C,CEBPA,CEBPB,CEBPE,CELF2,CITED1,CKS1B,CLDN6,CNN1,CNNM4,COL1A1,COL2A1,CSRNP1,DLX2,DUSP9,EGR1,ELMSAN1,ETS2,FEV,FOSB,FOXA1,FOXA3,FOXF1,FOXL2,FOXO4,GLB1L2,HES7,HK2,HNF4A,HOXA13,HOXB9,HOXC13,IER5L,IGDCC3,IKZF3,IRF1,ISL2,JUN,KIAA1804,KIF18B,KIF2C,KLF1,KMT2A,LHX1,LYL1,MAML2,MAP2K3,MAP2K6,MAP4K3,MAP4K5,MAP7D1,MAPK1,MEIS1,MIDN,NCL,NIT1,OSR2,PLK4,POU3F2,PRDM1,PRTG,PTPN1,PTPN12,PTPN13,PTPN9,RHOXF2BB,RREB1,RUNX1T1,S1PR2,SAMD1,SET,SGK1,SLC38A2,SLC4A1,SLC6A9,SNAI1,SPI1,STIL,TBX2,TBX3,TGFBR2,TMSB4X,TP73,TSC22D1,UBASH3A,UBASH3B,ZBTB1,ZBTB10,ZBTB25,ZC3HAV1,ZNF318
AHR,2.710292932007525,0.374013357619915,0.33404609170824423,0.10636675562333206,0.11910544424205627,0.7753491196114147,0.8101811906816221,4.0370868046224135,0.0,2.106840022611645,6.523856129190115,0.2739482520244914,2.821967213114754,3.832119004250152,6.211803278688524,0.0,1.1374933897408779,0.40791407574901073,5.858481097356975,1.025220680958386,0.0,0.06929955290611028,2.0112359550561796,0.08968177434908389,5.5618479880774965,5.897540983606557,5.750534568781183,6.387916743414993,0.0,0.31296572280178836,0.044840887174541946,0.0,3.4312996450904176,4.943647540983607,0.0,1.876336421952958,0.9095534200113058,2.7477113050883544,0.23968343697003958,1.2291666666666667,5.594535519125683,0.11434426229508196,0.6770491803278689,1.2439729990356798,6.725064191190993,5.311831789023521,2.054778088764494,6.137381667051489,1.5865401207937877,0.09528688524590163,6.300806661462399,0.17276166456494324,0.7150063051702396,1.5122950819672132,3.8680527788884445,0.0,0.0,6.021746403479424,1.0059123891427035,0.9543834640057021,1.9448584202682564,0.5669812882927637,0.14489687995769435,0.3408311094166984,6.0602855631940775,1.2596311475409836,0.7735979292493529,3.5689269746646795,0.4422026061370324,1.2071535022354694,0.020765027322404372,4.865573770491803,0.8289379900213828,2.6544766708701135,1.5853066180935034,0.09731426578304848,4.617276166456494,0.7245901639344262,0.0,1.7486338797814207,0.0,0.7601162066818842,1.5925436277102063,4.4105051856808295,0.0,6.768670309653916,1.9278688524590164,6.370673952641166,0.30983606557377047,0.3965357253325085,6.591493132476739,5.002049180327869,6.113973458235753,4.672131147540983,1.6860877270713337,0.13481449525452976,0.9907341411261582,0.10208643815201192,0.0,2.45927868852459,4.34655737704918,4.5004314063848145,5.317505181835312,0.6619828259172521,0.8912246865959499
ARID1A,0.374013357619915,0.0644718792866941,0.05045625335480408,0.018949181739879414,0.020804755372656608,0.13214449016918153,0.11371020142949967,0.5701275045537341,0.0,0.3116219667943806,0.8562741846323936,0.049085229808121376,0.4792592592592593,0.5871056241426612,0.8948148148148148,0.0,0.16547192353643966,0.06462324393358876,0.763416477702192,0.14245014245014245,0.0,0.012345679012345678,0.3046192259675406,0.01597676107480029,0.7396184062850729,0.764161220043573,0.7681159420289855,0.8435289221806076,0.0,0.052749719416386086,0.007988380537400145,0.0,0.5735013363879343,0.5682870370370371,0.0,0.2721417069243156,0.13580246913580246,0.4737854737854738,0.031928480204342274,0.1712962962962963,0.7604938271604939,0.020370370370370372,0.11604938271604938,0.20152505446623092,0.9259259259259259,0.7608695652173914,0.3369467028003613,0.8466353677621283,0.28421052631578947,0.016975308641975308,0.8259847148736038,0.03133903133903134,0.10256410256410256,0.22106481481481483,0.518970189701897,0.0,0.0,0.8117913832199547,0.1366120218579235,0.13258185721953838,0.31200897867564537,0.1025065469509914,0.026284348864994027,0.059431524547803614,0.7945041816009558,0.2263888888888889,0.11500974658869395,0.49242424242424243,0.06837606837606838,0.16835016835016836,0.003703703703703704,0.6481481481481481,0.11835748792270531,0.4805318138651472,0.24096936442615455,0.017336485421591805,0.5213675213675214,0.11604938271604938,0.0,0.2981956315289649,0.0,0.10548523206751055,0.23954599761051373,0.7135298563869993,0.0,0.9197530864197531,0.27314814814814814,0.8303938859494415,0.044444444444444446,0.05241090146750524,0.9009009009009009,0.6805555555555556,0.781305114638448,0.7447447447447447,0.24124124124124124,0.02290448343079922,0.17713365539452497,0.018518518518518517,0.0,0.4444444444444444,0.7192592592592593,0.6335282651072125,0.7977862920391656,0.08818342151675485,0.13507625272331156
ARRDC3,0.33404609170824423,0.05045625335480408,0.045368620037807186,0.016852039096730706,0.01789228842368939,0.11808910359634997,0.10068649885583524,0.5013067236873366,0.0,0.272863568215892,0.781310837118754,0.042954426401257205,0.3918840579710145,0.5018786902844874,0.782608695652174,0.0,0.14165497896213183,0.05057471264367816,0.7009760425909495,0.12709030100334448,0.0,0.010979358805445762,0.26021820550398955,0.014208581983518044,0.668423364075538,0.7024722932651322,0.6981726528040327,0.765673343103729,0.0,0.04479578392621871,0.007104290991759022,0.0,0.4688480502017033,0.5538949275362319,0.0,0.23881537492123503,0.11594202898550725,0.3738001129305477,0.028985507246376812,0.1527777777777778,0.6743961352657005,0.018115942028985508,0.09371980676328502,0.17306052855924978,0.820674000349223,0.6666666666666666,0.28137150936726757,0.768320065319453,0.2334096109839817,0.015096618357487922,0.7559236254888428,0.026755852842809364,0.09364548494983277,0.19655797101449277,0.4711912336514669,0.0,0.0,0.7329192546583851,0.1225944404846757,0.11846250787649654,0.25911286780852,0.08051529790660225,0.02244039270687237,0.04920795416245366,0.7277544023687081,0.17717391304347826,0.10251716247139588,0.43873517786561267,0.059457450761798585,0.15019762845849802,0.003381642512077295,0.5884057971014492,0.10522999369880277,0.39762170196952806,0.20540347110395418,0.015417823003391921,0.5150501672240803,0.10048309178743961,0.0,0.24972129319955408,0.0,0.09319390937442672,0.2085086489013558,0.5956817509612541,0.0,0.8260869565217391,0.2427536231884058,0.7605244996549344,0.04057971014492753,0.04867377631938748,0.8037602820211516,0.6115942028985507,0.7184265010351967,0.5828437132784959,0.21739130434782608,0.01906941266209001,0.15374921235034655,0.015810276679841896,0.0,0.3482898550724638,0.5901449275362319,0.5598779557589626,0.6849908379143761,0.0800552104899931,0.11696504688832055
ATL1,0.10636675562333206,0.018949181739879414,0.016852039096730706,0.0075716603569497025,0.007608383577375826,0.050818260120585705,0.032639738882088945,0.16240945482272207,0.0,0.0954290296712109,0.2342936480388754,0.019052956010086858,0.1511627906976744,0.17743324720068906,0.2586046511627907,0.0,0.046511627906976744,0.017161186848436247,0.2097769340294257,0.04114490161001789,0.0,0.004933051444679351,0.09014894172981448,0.006383948928408573,0.2029598308668076,0.20964432284541723,0.21536905965621841,0.23099033185262607,0.0,0.018322762508809022,0.0031919744642042863,0.0,0.1769359865739631,0.14353197674418605,0.0,0.08038422649140546,0.039561614541566426,0.14346118997281787,0.008821170809943865,0.04941860465116279,0.20775193798449612,0.00813953488372093,0.03643410852713178,0.06703146374829001,0.2572149061361726,0.2204246713852376,0.10720363017583664,0.2509007533573534,0.0966952264381885,0.006782945736434108,0.2277593207825766,0.011627906976744186,0.03309481216457961,0.06831395348837209,0.14605785592739648,0.0,0.0,0.22781205505457996,0.03812428516965307,0.03808560835861139,0.09443269908386187,0.03241719520789288,0.009752438109527382,0.020010816657652784,0.21955488872218054,0.07063953488372093,0.03671970624235006,0.13900634249471458,0.022063208109719738,0.048625792811839326,0.0015503875968992248,0.17906976744186046,0.03538928210313448,0.16815742397137745,0.0717772035601493,0.006927263730826323,0.13148479427549195,0.03875968992248062,0.0,0.1001788908765653,0.0,0.02943773918163085,0.07351837959489872,0.22116753678215473,0.0,0.2566752799310939,0.08023255813953488,0.22702104097452935,0.01434108527131783,0.015357612988152698,0.2501571338780641,0.19127906976744186,0.21040974529346623,0.19893148962916404,0.07448145820238844,0.007649938800489596,0.06774519716885744,0.006871035940803382,0.0,0.13990697674418603,0.22046511627906976,0.18237454100367198,0.23549852980486502,0.024363233665559248,0.04158686730506156
BAK1,0.11910544424205627,0.020804755372656608,0.01789228842368939,0.007608383577375826,0.011431184270690443,0.07879896357262613,0.037037037037037035,0.18123861566484517,0.0,0.1040868454661558,0.2673668693569191,0.019857206604194554,0.16098765432098766,0.19398719707361683,0.2866666666666667,0.0,0.05207088809239347,0.019880800340570454,0.2382212144116906,0.04510921177587844,0.0,0.004956977179199401,0.09911222083506728,0.006414911643669813,0.23138795361017583,0.23819898329702252,0.24557165861513688,0.2657095297544736,0.0,0.01964085297418631,0.0032074558218349067,0.0,0.19110347460862925,0.1712962962962963,0.0,0.09084809447128288,0.04399035050376047,0.1608946608946609,0.010004257130693913,0.05439814814814815,0.2382716049382716,0.008179012345679013,0.03930041152263374,0.07135076252723312,0.3028409936040458,0.2450348899624262,0.11442336645588679,0.2856894453138585,0.10155945419103314,0.006815843621399177,0.2579854987262395,0.012345679012345678,0.03608736942070275,0.07503858024691358,0.16448358928033724,0.0,0.0,0.25560594608213655,0.043311070633475,0.04294149221685454,0.10961466517022073,0.03497942386831276,0.010354440461967344,0.022250933103646283,0.24897119341563786,0.07523148148148148,0.042365172189733596,0.15656565656565657,0.02342513453624565,0.05611672278338945,0.0016460905349794238,0.20308641975308642,0.039318303811057435,0.17584678695789807,0.0800182898948331,0.006960861570790649,0.15669515669515668,0.0411522633744856,0.0,0.1041468819246597,0.0,0.03344272542584779,0.07964954201513341,0.23696145124716553,0.0,0.290695016003658,0.09274691358024692,0.2606310013717421,0.015637860082304528,0.016655019799673886,0.28361695028361694,0.21635802469135804,0.2666078777189888,0.25075075075075076,0.09134134134134134,0.008447043534762833,0.06977992485238863,0.007295173961840628,0.0,0.1485432098765432,0.2371604938271605,0.2037037037037037,0.25883354618986804,0.027630805408583186,0.04771241830065359
BCL2L11,0.7753491196114147,0.13214449016918153,0.11808910359634997,0.050818260120585705,0.07879896357262613,1.348117664990093,0.23954949101147932,1.5865209471766848,0.0,0.6704980842911877,1.8415330753639212,0.13223263424066636,1.0360493827160493,1.254915409236397,1.8464197530864197,0.0,0.35065710872162487,0.1526607066836952,1.6505416981607457,0.2896486229819563,0.0,0.03310886644219978,0.7136912193091969,0.042846768336964415,1.6075570520014963,1.7233115468409586,1.6975308641975309,1.8378415869052573,0.0,0.12457912457912458,0.021423384168482208,0.0,1.2283314242077128,1.6251929012345678,0.0,0.5909822866344605,0.28210586064992194,1.546897546897547,0.06513409961685823,0.3505658436213992,1.6864197530864198,0.05462962962962963,0.25308641975308643,0.46223674655047203,1.9211661460657445,1.5845410628019323,0.7335140018066847,1.8655885932881238,0.6600389863547759,0.04552469135802469,1.7807172251616696,0.0835707502374169,0.23266856600189934,0.4880401234567901,1.0947003914483588,0.0,0.0,1.7059712773998488,0.27929568913175473,0.2784040078726069,1.2115600448933783,1.0033670033670035,0.0700915969733174,0.14556416881998277,1.7189698659232708,1.2753086419753086,0.2857699805068226,1.0280583613916947,0.15194681861348527,0.36475869809203143,0.015843621399176954,1.3222222222222222,0.2536231884057971,1.148781259892371,1.2569730224051212,0.046493301812450746,1.5208926875593543,0.26995884773662554,0.0,0.6672997784108895,0.0,0.21503359899984373,0.5137395459976105,1.5139833711262283,0.0,1.882716049382716,0.6259259259259259,1.8191260043111894,0.10082304526748971,0.10738411367342185,1.834834834834835,1.4172839506172838,1.8627278071722517,1.7570904237570903,0.6057724391057724,0.0539311241065627,0.45840042941492215,0.04938271604938271,0.0,1.4603456790123457,1.5464197530864197,1.3118908382066277,1.7519511849013765,0.17989417989417988,0.31183732752360205
BCORL1,0.8101811906816221,0.11371020142949967,0.10068649885583524,0.032639738882088945,0.037037037037037035,0.23954949101147932,0.24345952600800247,1.1995973540408398,0.0,0.6346037507562009,1.9397748101597276,0.08454872120059184,0.8519298245614035,1.1513970110461338,1.8582456140350878,0.0,0.3415393322014714,0.12365396249243799,1.7400644468313642,0.30634278002699056,0.0,0.02126528442317916,0.6022077666075301,0.027519779841761266,1.656034024455077,1.7502579979360164,1.7109077040427154,1.9028188448649714,0.0,0.0962254120148857,0.013759889920880633,0.0,1.0359920419605715,1.457236842105263,0.0,0.5617848970251716,0.27404718693284935,0.8284347231715653,0.07138535995160314,0.3669590643274854,1.6701754385964913,0.03508771929824561,0.2064327485380117,0.37719298245614036,2.0226167829211583,1.5922959572845157,0.6221651690201112,1.835680751173709,0.48310249307479225,0.029239766081871343,1.872458925090504,0.053306342780026994,0.21524966261808368,0.4544956140350877,1.1523320496362859,0.0,0.0,1.794486215538847,0.3005464480874317,0.28578693109585557,0.5901116427432217,0.17118553960659225,0.04470854555744199,0.10526315789473684,1.8009809469911338,0.37763157894736843,0.23287165281625116,1.0669856459330143,0.13360323886639677,0.36363636363636365,0.006432748538011696,1.449122807017544,0.2490465293668955,0.8106162843004948,0.4728178470868529,0.029861888764464353,1.3582995951417005,0.2198830409356725,0.0,0.5290148448043185,0.0,0.22762602709304908,0.4779286926994907,1.3283208020050126,0.0,2.0198180636777128,0.5767543859649122,1.8943191311612364,0.0932748538011696,0.1178417742469381,1.9691797060218112,1.493859649122807,1.8383458646616542,1.4487908961593172,0.506638217164533,0.04155124653739612,0.30434782608695654,0.03149920255183413,0.0,0.7371228070175438,1.3091228070175438,1.3499538319482918,1.5928614640048397,0.1971595655806182,0.2679050567595459
BPGM,4.0370868046224135,0.5701275045537341,0.5013067236873366,0.16240945482272207,0.18123861566484517,1.5865209471766848,1.1995973540408398,7.775597957538296,0.0,3.1294516676088184,10.041350623929533,0.4206991902034367,4.371475409836066,5.837279902853673,9.30360655737705,0.0,1.7570068746694871,0.705144149236857,9.039812646370024,1.5132408575031526,0.0,0.10581222056631892,3.357892797937005,0.1369334619093539,8.63437655240934,9.367647058823529,8.904490377761938,9.900349972370602,0.0,0.46646795827123694,0.06846673095467695,0.0,5.313165455467297,9.250256147540984,0.0,2.8075552387740554,1.3550028264556246,4.741962955077709,0.355568117580554,1.8244535519125684,8.841530054644808,0.17459016393442622,1.0262295081967212,1.8809064609450337,9.956349990124432,7.951888809693514,3.1079568172730907,9.114984991918725,2.460914581535807,0.14549180327868852,9.706219099661723,0.2686002522068096,1.0617906683480454,2.2658811475409837,5.840663734506197,0.0,0.0,9.11140849782536,1.4901908089223328,1.4186267521976716,3.094883258817685,1.2215598609041232,0.22527763088313063,0.5203964925657644,9.349726775956285,3.0352459016393443,1.1884383088869714,5.349105812220566,0.6591004623791509,1.7883755588673622,0.05,7.218032786885246,1.2312900926585888,4.118537200504414,3.05504958510423,0.14858737356121382,8.725725094577554,1.0896174863387977,0.0,2.6775956284153004,0.0,1.1265822784810127,2.3979375991538867,6.716627634660422,0.0,10.056162720097147,2.9741803278688526,9.90489201144939,0.4601092896174863,0.583668419424683,9.775808595480727,7.47827868852459,9.780249804839968,6.322108994240142,2.517058041648206,0.20254529767040552,1.5181753385602281,0.1587183308494784,0.0,6.0,6.799672131147541,6.6548748921484036,8.394950065950631,0.9820452771272443,1.3365477338476375
C19orf26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C3orf72,2.106840022611645,0.3116219667943806,0.272863568215892,0.0954290296712109,0.1040868454661558,0.6704980842911877,0.6346037507562009,3.1294516676088184,0.0,1.6967895362663497,4.958826556870818,0.24387203988367262,2.3551724137931034,3.086206896551724,4.881379310344828,0.0,0.8976640711902113,0.3286563614744352,4.448275862068965,0.8037135278514589,0.0,0.062173458725182866,1.602092212320806,0.08045977011494253,4.2507836990595615,4.476166328600406,4.406296851574213,4.872530027121271,0.0,0.2716823406478579,0.040229885057471264,0.0,2.8400284393885533,3.6061422413793105,0.0,1.4835082458770614,0.7273087594133968,2.282131661442006,0.18311533888228299,0.9604885057471264,4.305747126436781,0.10258620689655172,0.5712643678160919,1.0405679513184585,5.22268383880349,4.189655172413793,1.7132043734230447,4.798931520155415,1.3662431941923774,0.08548850574712644,4.796934865900383,0.15119363395225463,0.5755968169761273,1.206896551724138,2.972245584524811,0.0,0.0,4.639690358902182,0.776144714527982,0.743128435782109,1.5903866248693834,0.48101706722396376,0.12680756395995552,0.29190056134723336,4.614015572858732,1.0577586206896552,0.6225045372050817,2.768808777429467,0.36427939876215737,0.9435736677115988,0.01839080459770115,3.717241379310345,0.656671664167916,2.3085764809902742,1.2613878246062153,0.08730741012472487,3.350132625994695,0.6045977011494252,0.0,1.4871794871794872,0.0,0.5905718027062418,1.2797552836484982,3.626319493314567,0.0,5.210727969348659,1.5120689655172415,4.837164750957855,0.24942528735632183,0.30709173715029275,5.08574091332712,3.861206896551724,4.652709359605911,3.835973904939422,1.337837837837838,0.11569872958257713,0.881559220389805,0.08934169278996865,0.0,2.0700689655172413,3.5779310344827584,3.5353901996370234,4.23226317875545,0.5057471264367817,0.7200811359026369
