,AHR,ARID1A,ARRDC3,ATL1,BAK1,BCL2L11,BCORL1,BPGM,C19orf26,C3orf72,CBFA2T3,CBL,CDKN1A,CDKN1B,CDKN1C,CEBPA,CEBPB,CEBPE,CELF2,CITED1,CKS1B,CLDN6,CNN1,CNNM4,COL1A1,COL2A1,CSRNP1,DLX2,DUSP9,EGR1,ELMSAN1,ETS2,FEV,FOSB,FOXA1,FOXA3,FOXF1,FOXL2,FOXO4,GLB1L2,HES7,HK2,HNF4A,HOXA13,HOXB9,HOXC13,IER5L,IGDCC3,IKZF3,IRF1,ISL2,JUN,KIAA1804,KIF18B,KIF2C,KLF1,KMT2A,LHX1,LYL1,MAML2,MAP2K3,MAP2K6,MAP4K3,MAP4K5,MAP7D1,MAPK1,MEIS1,MIDN,NCL,NIT1,OSR2,PLK4,POU3F2,PRDM1,PRTG,PTPN1,PTPN12,PTPN13,PTPN9,RHOXF2BB,RREB1,RUNX1T1,S1PR2,SAMD1,SET,SGK1,SLC38A2,SLC4A1,SLC6A9,SNAI1,SPI1,STIL,TBX2,TBX3,TGFBR2,TMSB4X,TP73,TSC22D1,UBASH3A,UBASH3B,ZBTB1,ZBTB10,ZBTB25,ZC3HAV1,ZNF318
AHR,108.99865627519485,109.05585913782635,109.07650273224044,109.02478078536028,109.14895770087027,109.18093503339405,109.02128271498418,109.56812684762161,109.50834179602495,108.75692481628039,108.75311964766333,109.33715188623346,109.44950819672131,109.37765634486946,109.16,104.36810730253353,107.82945531464833,106.75884680610514,108.28604884576781,108.95712484237075,109.91693989071038,109.3725782414307,101.64652790569166,109.02667952426873,108.28067560854446,108.43756027000964,108.31860299358517,108.49953951003869,109.38386443175538,109.15797317436662,109.27756348441015,97.72444398036964,109.36369781984114,108.359375,109.49364047484454,109.15146115466857,109.25287356321839,109.14668937619757,109.25664217071792,109.25785519125684,108.06338797814207,109.09467213114755,108.86174863387978,108.66345226615236,108.99604977286194,109.26265146115468,109.29788084766093,109.2569845301316,108.98947368421052,109.51195355191257,109.14936247723134,109.18537200504413,109.28058007566204,109.13627049180327,109.27129148340664,109.44710725575241,109.28161592505855,108.97724991635998,108.99005643644182,108.83725350439535,108.95057128663686,108.9531379367445,108.86197778952935,109.19176515440336,109.02467830072273,107.57663934426229,109.31078515962037,108.91877794336811,108.96931483816729,109.06855439642325,108.2879781420765,108.28524590163934,109.40199572344974,109.15048339638504,109.39728799838089,109.2207882804325,100.39943253467844,108.96065573770491,109.40505464480874,109.37200504413619,109.4064443188242,109.01390329943972,109.59730301427815,109.28638340582134,109.43888409548461,109.50880388585307,108.72786885245901,108.69750195160032,109.26639344262296,108.55428394679863,108.50819672131148,108.8672131147541,109.45218579234972,109.06978289765175,109.24966770048738,109.05931837791199,108.15324305060584,108.78576751117734,109.43542990966878,103.70413114754098,109.3532786885246,108.02761000862813,109.42736009044658,109.00364298724955,109.07290260366442
ARID1A,109.05585913782635,109.37174211248285,109.09769189479334,109.39707149009475,109.11294010059441,109.1819844535894,109.03183885640026,109.75288403157256,109.66338905276959,108.8735632183908,108.59480375898286,109.60999553770638,109.7325925925926,109.53155006858711,109.3037037037037,104.0231949120838,107.68279569892474,106.458748403576,108.08465608465609,109.04700854700855,110.1679012345679,109.75196408529742,101.7070328755722,109.10457516339869,108.20875420875421,108.42538126361656,108.28743961352657,108.48813982521848,109.69205160216396,109.27160493827161,109.33914306463326,97.53479594243926,109.62466590301642,108.21296296296296,109.67688378033206,109.35990338164251,109.37079608343976,109.25012025012025,109.485312899106,109.35108024691358,108.11111111111111,109.17037037037036,109.02839506172839,108.87799564270152,109.08433734939759,109.52093397745571,109.59530261969286,109.51591027647366,109.35087719298245,109.7175925925926,109.11699000587889,109.27492877492878,109.3903133903134,109.24768518518519,109.29765130984643,109.58594917787742,109.40079365079364,108.93801965230537,108.95264116575592,108.80246913580247,108.9753086419753,108.92480359147025,108.8757467144564,109.27045650301464,109.00477897252091,107.30555555555556,109.39142300194932,109.03451178451178,108.94207027540361,109.11616161616162,108.20030864197531,108.30740740740741,109.60305958132045,109.5318138651472,109.68312757201646,109.5925925925926,100.96581196581197,109.02345679012346,109.57947530864197,109.68755935422602,109.56704980842912,108.99249882794187,109.82616487455198,109.52985638699924,109.53833658219624,109.78257887517147,108.69444444444444,108.6710758377425,109.33395061728395,108.63242487770789,108.53203203203203,108.93518518518519,109.57275132275132,109.15615615615616,109.34034034034035,109.08625730994152,108.53623188405797,108.84680134680134,109.53892668178382,104.24266666666666,109.62296296296296,108.15009746588694,109.65346956151554,109.00058788947678,109.10457516339869
ARRDC3,109.07650273224044,109.09769189479334,109.60344465448435,108.97944051230199,109.77804616210413,109.836106638039,109.64378337147215,109.856022808268,109.77747851737848,108.94652673663168,109.0677049534934,109.39444735463593,109.46753623188405,109.6731078904992,109.40289855072464,104.41062801932367,107.93361383824217,107.06006996501749,108.90032534753031,109.14548494983278,109.99710144927536,109.34892402283707,102.08223416381696,109.38817845978971,108.5911286780852,108.85805626598466,109.08097038437303,109.17733268197362,109.3426152092493,109.32674571805006,109.92298948564934,97.68005169389828,109.30389959659345,108.83333333333333,109.7688655672164,109.34278512917454,109.65000832916876,109.40335027291549,109.54172913543228,109.61745169082126,108.0048309178744,109.6963768115942,109.07487922705315,108.4914748508099,109.1920726383796,109.13484562066793,109.22198656769176,109.40416411512554,108.8329519450801,109.83423913043478,109.66597653554176,109.45484949832776,109.68952062430323,109.5072463768116,109.920820077766,109.88373302138169,109.6407867494824,109.22330671398994,109.52577809455927,109.52846040747743,109.64361001317523,109.620992534036,109.33006077606358,109.76373441186384,109.59809880006233,107.83043478260869,109.60854309687262,109.00922266139658,109.57859531772576,109.21739130434783,108.77838164251207,108.7231884057971,109.53528670447385,109.05053883314753,109.41456432277688,109.30650632130744,101.18729096989966,109.31932367149759,109.78804347826087,109.32255667038275,109.71264367816092,109.65712713263622,109.79920523609164,109.27979887607216,109.7512077294686,109.62104133118626,109.40760869565217,109.40039107430412,109.58357487922706,109.10391030899645,108.38190364277321,109.36485507246377,109.75189786059352,109.6400313356835,109.78809244026635,109.50686498855835,107.95778197857592,108.96969696969697,109.78763679384798,104.35721739130435,109.43507246376812,108.14187643020595,109.69048808928869,109.73268921095008,109.68337595907929
ATL1,109.02478078536028,109.39707149009475,108.97944051230199,109.7506760411033,108.86175710594316,108.96669537754809,108.84455324357405,109.89210827296988,109.74356863552171,108.74498797113071,108.33911836167998,109.91986550854581,109.91906976744185,109.557278208441,109.28651162790698,103.50833920601363,107.32445611402851,105.91756214915797,107.69625059326056,108.90787119856887,110.41705426356589,110.06412966878084,101.83093807159655,109.12631098951208,107.84073291050035,107.99076607387141,107.8948432760364,108.08779723020643,110.06088319832767,109.31994362226921,109.13816689466485,97.34661531624944,109.90074322704388,107.7779796511628,109.58881315156376,109.27249747219413,109.23282544774125,109.05708245243129,109.38732959101844,109.30959302325581,107.95658914728682,109.01918604651163,108.9798449612403,109.01504787961696,108.94396189408798,109.65166835187058,109.86954055587067,109.64231903046183,109.97086903304773,109.72044573643412,108.90660760428203,109.195885509839,109.30500894454383,109.17296511627907,109.14265456608055,109.56543956616957,109.43604651162791,108.7375415282392,108.79260388867709,108.58577687900235,108.64834390415785,108.5867982147052,108.79819954988747,109.18442401297999,108.70042510627657,106.96686046511628,109.38604651162791,108.99418604651163,108.69827072152654,109.00211416490487,107.70019379844962,108.13023255813954,109.71638018200203,110.15623136553369,109.97301177146139,109.95447798119743,100.7938282647585,108.91705426356589,109.61579457364341,109.91413237924866,109.58460304731355,108.69384751251104,109.86834208552138,109.72662553393451,109.4765401876785,109.94961240310077,108.3296511627907,108.26984126984127,109.34573643410853,108.21939447125932,108.49151477058454,108.72790697674418,109.53626799557033,108.85952231301069,109.21558768070396,108.97215422276622,108.86349848331648,108.8784355179704,109.55434266729948,104.10530232558139,109.84883720930233,107.95348837209302,109.82464581662657,108.6548541897379,108.96361149110807
BAK1,109.14895770087027,109.11294010059441,109.77804616210413,108.86175710594316,110.14811004420058,110.15203475080018,109.9416287632662,109.87067395264117,109.79531301212717,109.11260110685399,109.35526073337019,109.30767514502455,109.39938271604939,109.74942844078646,109.48222222222222,104.72546452176081,108.21604938271605,107.50519369944658,109.25699168556311,109.33570750237416,109.919341563786,109.24261129816685,102.13184907754196,109.51585572500605,108.94350916573138,109.39206608569354,109.62734836285561,109.68171729782216,109.18893050353725,109.35671530115975,110.27511498426531,97.90174569473932,109.19326715031183,109.29378858024691,109.95343763303534,109.48027375201288,109.9049240811693,109.62570145903479,109.71179225202214,109.77404835390946,108.1522633744856,110.01527777777778,109.18600823045267,108.46187363834423,109.39483861371411,109.08360171765969,109.12104787714544,109.36393670665971,108.62768031189084,109.93737139917695,109.96051342347639,109.57193732193733,109.85042735042735,109.73244598765432,110.21296296296296,110.03418590488845,109.74823633156967,109.41622574955909,109.78678405181138,109.89452495974236,110.11550692106248,110.056303778526,109.52309836718439,109.9850703416595,110.00630558874286,108.18078703703704,109.71059129304743,109.12528058361391,109.88968027856917,109.35774410774411,109.36018518518519,108.97654320987654,109.49570585077832,108.86942070275404,109.29332418838591,109.16981875492513,101.51851851851852,109.50144032921811,109.89891975308642,109.21430832541944,109.78097062579822,110.05672761368965,109.85374352847471,109.18934240362812,109.86024474767164,109.58882030178326,109.8770061728395,109.9086321771507,109.67407407407407,109.5762869788027,108.36077744411078,109.68225308641975,109.87286890064668,110.01634968301634,110.0528028028028,109.74090318388564,107.8797638217928,109.02763748597081,109.86577223481986,104.61249382716049,109.35111111111111,108.40805717998701,109.67972186746132,110.14902998236332,109.95548293391431
BCL2L11,109.18093503339405,109.1819844535894,109.836106638039,108.96669537754809,110.15203475080018,110.21170553269319,109.96469568984189,109.96073669297714,109.8813503769256,109.14431673052363,109.32651557029666,109.39015320541425,109.49308641975308,109.83219021490626,109.55901234567901,104.67614415762564,108.1620868180008,107.43507875691783,109.26832955404385,109.33048433048432,110.00658436213992,109.33688739244295,102.14038008045499,109.55579762769305,108.88926300037411,109.28794480755265,109.57675791733763,109.64350117908171,109.28783465113054,109.4190048634493,110.29363350278383,97.74781788157584,109.26435026091383,109.24054783950618,109.97743720732227,109.52227589908749,109.90733645522917,109.6297899631233,109.7667092379736,109.82484567901234,108.12098765432098,110.03641975308642,109.23786008230452,108.50617283950618,109.3889632604492,109.13714439076757,109.19753086419753,109.46391931837941,108.7498375568551,110.02906378600824,109.96747011561827,109.64055080721748,109.92545109211775,109.74961419753086,110.26422764227642,110.09433648895532,109.8126102292769,109.41521793902746,109.84031572556162,109.92395777419932,110.09726898615787,110.0395311136052,109.57626443647949,110.03990812517944,109.99867250763307,108.06419753086419,109.76088369070825,109.1358024691358,109.91452991452991,109.37485970819304,109.2608024691358,109.00123456790124,109.60252281266774,108.97942386831275,109.39308032312148,109.27738376674547,101.49928774928775,109.55061728395061,109.97505144032922,109.31085786641343,109.84376330353342,110.06016565088295,109.91158900836321,109.28747795414462,109.93632228719947,109.68084133516233,109.84382716049383,109.87781697040957,109.73477366255145,109.52853482413231,108.45045045045045,109.7,109.93930041152264,110.0377043710377,110.08191524858192,109.76007147498376,107.97155126140633,109.06705948372615,109.94570420760897,104.72118518518519,109.44012345679012,108.3625730994152,109.78203490847169,110.16010190084265,110.00130718954249
BCORL1,109.02128271498418,109.03183885640026,109.64378337147215,108.84455324357405,109.9416287632662,109.96469568984189,109.79993844259772,109.80356629278113,109.70780934637479,108.94736842105263,109.15475255302435,109.29148171633904,109.34526315789473,109.63872644574398,109.37122807017543,104.5224171539961,108.01358234295417,107.24113732607381,109.05048335123523,109.18960863697706,109.89122807017544,109.22381711855397,102.03666469544648,109.41692466460269,108.74056353003722,109.14009287925697,109.3695652173913,109.4307116104869,109.17938103686181,109.26794258373205,110.09133126934985,97.79103810481618,109.16910833785495,109.0561951754386,109.81684815486993,109.35736079328757,109.75236942932042,109.46570972886762,109.58802177858439,109.64327485380117,108.0233918128655,109.84342105263158,109.07368421052631,108.37254901960785,109.24096385542168,109.00915331807781,109.08429610611896,109.30491722263405,108.63065558633426,109.82711988304094,109.78919521024784,109.44264507422402,109.72672064777328,109.59210526315789,110.04214805305948,109.90944850916529,109.64974937343358,109.26065162907268,109.59275237273512,109.67302313755403,109.87852206273259,109.83466241360978,109.38256932654217,109.82741738066096,109.784757592907,107.98881578947369,109.60406278855032,109.00598086124401,109.70760233918129,109.23046251993621,109.08508771929824,108.84035087719299,109.42715484363082,108.88124156545209,109.27008880225254,109.16610675625233,101.4804318488529,109.3327485380117,109.80445906432749,109.1731893837157,109.68542044767091,109.84365978236731,109.77306168647425,109.13927676333691,109.73160972606956,109.54158544509421,109.65350877192982,109.66819827346143,109.56228070175439,109.34326381992717,108.2221431958274,109.4969298245614,109.7422723475355,109.81009957325747,109.9058795637743,109.59025854108957,107.81693363844394,108.93819776714514,109.75814536340852,104.4858947368421,109.32105263157895,108.24284395198522,109.62371445856019,109.93622946254526,109.77997936016511
BPGM,109.56812684762161,109.75288403157256,109.856022808268,109.89210827296988,109.87067395264117,109.96073669297714,109.80356629278113,110.50577801666219,110.36428260554186,109.33182589033352,109.18473207731833,110.26407268417934,110.25606557377048,110.197328476017,109.90754098360655,104.25302202351382,108.01956636700159,106.85856416054268,108.80093676814988,109.53972257250946,110.81857923497267,110.25459513164431,102.39638975870326,109.81131468981035,108.65027322404372,108.85173577627772,108.98823948681397,109.11456990237613,110.26634739362682,109.88325881768505,110.09803921568627,97.84943092826563,110.17103261788068,108.76588114754098,110.23233465234595,109.83392729864576,109.98436027887695,109.73855652544177,109.99378179762577,110.0403005464481,108.4032786885246,109.91885245901639,109.53333333333333,109.2039537126326,109.5684376851669,109.90769779044903,110.10035985605758,110.09651350727314,109.83088869715272,110.35621584699453,109.81420765027322,109.86002522068095,110.05296343001261,109.90368852459017,110.11195521791284,110.31823862383298,110.13466042154566,109.46403479424556,109.71459285138404,109.607982893799,109.66865375062096,109.61997019374068,109.62453728186145,110.05794891345788,109.66666666666667,107.8063524590164,110.06557377049181,109.51266766020865,109.68642286675073,109.6140089418778,108.6698087431694,108.93606557377049,110.19850320741268,110.067675493905,110.27848613640964,110.21485873735612,101.40447667087011,109.6551912568306,110.3025956284153,110.16645649432535,110.24024872809497,109.6993152106246,110.42252776308831,110.05486784877885,110.1745757837216,110.3752276867031,109.37131147540984,109.3312516263336,110.03934426229509,109.1311475409836,108.8774922463447,109.56680327868852,110.20979703356753,109.7525476295968,110.07554275587063,109.7916307161346,108.79900213827513,109.45491803278688,110.26078956172633,104.69980327868852,110.22098360655738,108.48317515099224,110.36612021857924,109.72235232890971,109.89643201542913
C19orf26,109.50834179602495,109.66338905276959,109.77747851737848,109.74356863552171,109.79531301212717,109.8813503769256,109.70780934637479,110.36428260554186,110.277390555251,109.2670125114434,109.15163122440893,110.11120588548886,110.15522123893805,110.09603408718453,109.80743362831858,104.3240368284616,108.02169568940907,106.887763198047,108.7836373487448,109.44043567052417,110.69911504424779,110.12657548940734,102.33588545291836,109.72861356932154,108.60579243765085,108.78617907339927,108.90419392073875,109.04733021775877,110.13890822312817,109.79351032448378,109.99488113829602,97.83495857054281,110.05592555423775,108.73091814159292,110.13075984131828,109.73605232781838,109.89207608585087,109.66153315710838,109.89746719560574,109.94321533923303,108.3386430678466,109.81548672566372,109.44660766961653,109.12753774076002,109.49333617656467,109.8205078876491,109.97733649902871,109.99538825875608,109.69725197950629,110.23414454277287,109.75923584773142,109.78897208985704,109.96324029952349,109.78097345132744,110.02385063673646,110.22227072502876,110.04013906447535,109.44428390825357,109.65544755549108,109.54123380787482,109.58058460713328,109.56136587110038,109.52754781615758,109.96892364684092,109.59149300599486,107.81216814159292,109.98714485328365,109.42518101367659,109.61266167460857,109.53057119871279,108.62293510324484,108.86106194690265,110.11061946902655,109.92035398230088,110.1501147164864,110.07795142157785,101.16320626276378,109.60678466076696,110.18676253687316,110.06240072611754,110.14922184925237,109.64008065419515,110.29945760776478,109.95322376738307,110.10922217047042,110.24647656506063,109.29911504424778,109.26562719483073,109.96076696165191,109.05359826348305,108.86689787132265,109.48473451327433,110.13158449220396,109.67830662520927,109.97369050466395,109.71564974382859,108.68872643324356,109.37369267900242,110.17816507133827,104.51964601769912,110.1,108.3884489986027,110.24626182483979,109.65795757831157,109.81155648099949
C3orf72,108.75692481628039,108.8735632183908,108.94652673663168,108.74498797113071,109.11260110685399,109.14431673052363,108.94736842105263,109.33182589033352,109.2670125114434,108.6730083234245,108.61811631497685,109.0112172829248,109.17379310344828,109.21008939974458,109.00275862068966,104.23301985370951,107.72191323692992,106.74768133174791,108.24137931034483,108.83554376657825,109.57471264367815,109.07680250783699,101.50445563734986,108.80730223123732,108.23719958202717,108.53752535496957,108.42053973013493,108.60170476559473,109.03370786516854,108.91013584117033,109.25118323191346,97.47946408961124,109.00035549235692,108.37661637931035,109.3614744351962,109.0352323838081,109.14546175188268,109.04791759964174,109.16884661117717,109.09841954022988,107.9080459770115,109.0603448275862,108.73218390804598,108.4158215010142,108.85999169090154,108.98650674662669,108.98149705634988,109.01554152501214,108.6410163339383,109.3764367816092,109.04980842911877,109.0238726790451,109.16445623342175,109.02586206896552,109.20563498738436,109.29735580640173,109.07266009852216,108.79099225897255,108.89259468626342,108.81959020489755,108.99164054336468,108.96760710553814,108.72747497219132,109.10745789895749,109.01928068223953,107.42715517241379,109.09437386569873,108.73667711598746,108.90716180371352,108.88557993730407,108.39511494252874,108.19655172413793,109.14467766116941,108.7922192749779,109.07577692635164,108.91709464416728,100.73209549071618,108.82528735632184,109.23491379310344,109.07250221043324,109.18668252080856,109.01222173723265,109.3932146829811,108.99155524278677,109.2692075015124,109.26181353767561,108.7905172413793,108.77312534209086,109.03218390804598,108.65517241379311,108.2856477166822,108.84137931034483,109.2807881773399,109.11602982292638,109.16402609506058,108.92196007259528,107.9640179910045,108.5242946708464,109.22941590429275,104.0353103448276,109.05344827586207,107.99274047186933,109.18271898533492,109.0415982484948,109.01135902636916
