,AHR,ARID1A,ARRDC3,ATL1,BAK1,BCL2L11,BCORL1,BPGM,C19orf26,C3orf72,CBFA2T3,CBL,CDKN1A,CDKN1B,CDKN1C,CEBPA,CEBPB,CEBPE,CELF2,CITED1,CKS1B,CLDN6,CNN1,CNNM4,COL1A1,COL2A1,CSRNP1,DLX2,DUSP9,EGR1,ELMSAN1,ETS2,FEV,FOSB,FOXA1,FOXA3,FOXF1,FOXL2,FOXO4,GLB1L2,HES7,HK2,HNF4A,HOXA13,HOXB9,HOXC13,IER5L,IGDCC3,IKZF3,IRF1,ISL2,JUN,KIAA1804,KIF18B,KIF2C,KLF1,KMT2A,LHX1,LYL1,MAML2,MAP2K3,MAP2K6,MAP4K3,MAP4K5,MAP7D1,MAPK1,MEIS1,MIDN,NCL,NIT1,OSR2,PLK4,POU3F2,PRDM1,PRTG,PTPN1,PTPN12,PTPN13,PTPN9,RHOXF2BB,RREB1,RUNX1T1,S1PR2,SAMD1,SET,SGK1,SLC38A2,SLC4A1,SLC6A9,SNAI1,SPI1,STIL,TBX2,TBX3,TGFBR2,TMSB4X,TP73,TSC22D1,UBASH3A,UBASH3B,ZBTB1,ZBTB10,ZBTB25,ZC3HAV1,ZNF318
AHR,4.583714055361462,4.6775956284153,4.761225944404846,4.839496759435761,4.532685691155637,4.505565674964582,4.817083692838654,4.44235420585864,4.643696503699405,4.625777275296778,4.471005627599706,4.191981038909737,4.794754098360656,4.612021857923497,4.523278688524591,4.051995363470773,4.367794817556848,3.975240248728095,4.786885245901639,4.548549810844893,4.773770491803279,4.448087431693989,4.193774175722969,4.675988428158148,4.725782414307004,4.53519768563163,4.737704918032787,4.538036470804936,4.312948977712286,4.682563338301043,4.727740276438444,4.444502453795552,4.217001859050194,4.255122950819672,4.527133973996608,4.327156094084105,4.437346900320332,4.229721098573558,4.859807801017524,4.927254098360656,4.845901639344262,4.689754098360655,4.70327868852459,4.781099324975892,4.401540588583844,4.519244476122594,4.562574970011995,4.374278457631032,4.451941328731666,4.422131147540983,4.551912568306011,4.2194199243379575,4.76796973518285,4.577868852459017,4.775489804078369,4.210835845034183,4.695550351288056,4.466711274673804,4.512496640687987,4.699215965787598,4.5683060109289615,4.743500579566153,4.6964569011105235,4.599313762866946,4.539925965097832,4.549795081967213,4.5720448662640205,4.652757078986587,4.740226986128626,4.563338301043219,4.225683060109289,4.678688524590164,4.319672131147541,4.621689785624212,4.435134588140053,4.686431810254621,4.127994955863809,4.906557377049181,4.273565573770492,4.494325346784363,4.761447145279819,4.470429549699108,4.597831835007932,4.343258614921378,4.302415875754961,4.353066180935033,4.627049180327869,4.7443403590944575,4.859016393442623,4.116919270027838,4.175675675675675,4.627049180327869,4.494925839188134,4.515064244572441,4.4986708019494905,4.663934426229508,4.900213827512474,4.3546944858420265,4.21796587487454,4.038819672131147,4.491147540983606,4.22260569456428,4.413793103448276,4.358053603955243,4.550819672131148
ARID1A,4.6775956284153,4.8943758573388205,5.024154589371981,5.19724375538329,4.561499771376314,4.533150434385003,5.122157244964263,4.40922890103218,4.777122254998361,4.823754789272031,4.474847982310669,3.92681838464971,5.084444444444444,4.735253772290809,4.607407407407408,3.6670407781518892,4.282556750298686,3.5062579821200512,5.070294784580499,4.652421652421652,5.1950617283950615,4.460157126823794,3.9284228048272993,4.895424836601308,4.973063973063973,4.568627450980392,5.0,4.602163961714523,4.175197669579692,4.891133557800225,4.946986201888163,4.4149563576315165,3.9709812905689192,4.0532407407407405,4.571519795657727,4.201288244766506,4.40144742443593,4.012025012025012,5.234993614303959,5.3371913580246915,5.269135802469136,4.871296296296296,4.998765432098765,5.076252723311547,4.335118250780901,4.585346215780999,4.62962962962963,4.302034428794992,4.416764132553606,4.37962962962963,4.601410934744268,4.028490028490029,5.068376068376068,4.694444444444445,5.044715447154472,3.9687759508387312,4.925925925925926,4.4633408919123205,4.542197935640559,4.906602254428341,4.65993265993266,4.977927422371867,4.921146953405018,4.720068906115418,4.573874950219036,4.61712962962963,4.644444444444445,4.841750841750842,5.0398860398860394,4.693602693602694,3.991358024691358,5.014814814814815,4.166666666666667,4.7910731244064575,4.399634202103338,4.901497241922774,3.836182336182336,5.290123456790123,4.097993827160494,4.501424501424501,5.0485312899106,4.46741678387248,4.718637992831542,4.210128495842781,4.1458739441195585,4.261316872427984,4.775925925925926,4.966196355085244,5.2,3.7973445143256463,3.9234234234234235,4.775925925925926,4.511463844797178,4.542042042042042,4.523023023023023,4.8235867446393765,5.328502415458937,4.4646464646464645,3.991307634164777,3.653925925925926,4.499259259259259,4.011695906432749,4.33546189868029,4.2633744855967075,4.606535947712418
ARRDC3,4.761225944404846,5.024154589371981,5.1795841209829865,5.389282103134479,4.621041331186259,4.588298443370907,5.297482837528604,4.439059158945118,4.880723355136591,4.940029985007496,4.518494484101233,3.855421686746988,5.252173913043478,4.830917874396135,4.678260869565217,3.5432586736934564,4.286816269284713,3.347826086956522,5.235137533274179,4.7324414715719065,5.391304347826087,4.503293807641634,3.8583292623351246,5.025575447570333,5.118577075098814,4.629156010230179,5.151228733459357,4.67171470444553,4.157791890571568,5.019762845849803,5.087809036658141,4.447798393796732,3.9085611833258627,4.008152173913044,4.634932533733133,4.187145557655954,4.42928535732134,3.9599096555618294,5.434782608695652,5.557065217391305,5.478260869565218,4.994565217391305,5.1521739130434785,5.242966751918159,4.349397590361446,4.653119092627599,4.703075291622482,4.311696264543785,4.446224256292906,4.4021739130434785,4.6687370600414075,3.979933110367893,5.234113712374582,4.782608695652174,5.204135737009544,3.908754143107818,5.062111801242236,4.503105590062112,4.599429793300072,5.03780718336484,4.741765480895916,5.124286341677646,5.056100981767181,4.812942366026289,4.635343618513324,4.690760869565217,4.720823798627002,4.9604743083003955,5.20066889632107,4.782608695652174,3.934057971014493,5.173913043478261,4.144612476370511,4.8996655518394645,4.427267847557703,5.032377428307123,3.750836120401338,5.5,4.0625,4.548494983277592,5.2098950524737635,4.509080902586681,4.812762973352034,4.19698314108252,4.122425629290618,4.261674718196457,4.880434782608695,5.108695652173913,5.391304347826087,3.6997538966365875,3.854876615746181,4.880434782608695,4.563146997929606,4.597532314923619,4.577555816686251,4.937070938215103,5.5482041587901705,4.529644268774703,3.93566992014197,3.5318260869565217,4.546956521739131,3.9588100686498855,4.3478260869565215,4.263630089717046,4.675191815856778
ATL1,4.839496759435761,5.19724375538329,5.389282103134479,5.672255273120606,4.64915302899799,4.614987080103359,5.540187678498572,4.4186046511627906,4.99012142416135,5.097834803528468,4.526553280111073,3.6542448865228354,5.482790697674418,4.931955211024978,4.747906976744186,3.2487667371388302,4.22543135783946,2.98813151563753,5.460844803037494,4.817531305903399,5.72093023255814,4.5172656800563775,3.657172720146329,5.200638394892841,5.315715292459479,4.660738714090288,5.359959555106168,4.726678860726418,4.055657172720147,5.186751233262862,5.264021887824898,4.430306621241297,3.7223687365140252,3.8561046511627906,4.674819566960705,4.0940343781597575,4.406575781876503,3.795530051344005,5.731355252606255,5.8812984496124034,5.810852713178295,5.1412790697674415,5.385271317829457,5.477428180574555,4.302885962454469,4.709302325581396,4.760635280771412,4.26039960694399,4.424235006119951,4.374031007751938,4.712809154669619,3.8354203935599283,5.47227191413238,4.877906976744186,5.418888258650028,3.725727395974554,5.245847176079734,4.505457997152349,4.627906976744186,5.204246713852376,4.818181818181818,5.3121916842847074,5.235558889722431,4.9118442401298,4.6674168542135535,4.748546511627907,4.782619339045287,5.112050739957716,5.4376863446630885,4.887949260042284,3.7569767441860464,5.437209302325582,4.030839231547017,5.035778175313059,4.404823428079242,5.204354280059377,3.5286225402504474,5.803875968992248,3.930717054263566,4.55933214072749,5.4378508420208505,4.511922284368561,4.91185296324081,4.098718557190318,4.005915952672378,4.195090439276486,5.001162790697674,5.287006275378368,5.662015503875969,3.455901711276876,3.663419233186675,5.001162790697674,4.5813953488372094,4.623821495914519,4.6018227529855436,5.06670746634027,5.8857431749241655,4.617336152219873,3.7643569055529187,3.2375813953488373,4.558604651162791,3.799265605875153,4.292435177759957,4.194905869324474,4.723939808481532
BAK1,4.532685691155637,4.561499771376314,4.621041331186259,4.64915302899799,4.51623228166438,4.489711934156379,4.654754169374052,4.458409228901032,4.57194362504097,4.519369944657301,4.467661691542289,4.3302097278000895,4.640493827160494,4.545496113397348,4.477037037037037,4.253522883152513,4.411389884508164,4.2209450830140485,4.635928445452255,4.4919278252611585,4.548971193415638,4.440329218106996,4.3323623248716885,4.5584604212055195,4.593714927048261,4.516158315177923,4.5976918947933445,4.502843667637675,4.3843806353169645,4.570894126449682,4.610990075042363,4.458913265707321,4.345169912180221,4.359953703703703,4.502447850148999,4.391841116478798,4.454945366822762,4.342953342953343,4.660280970625799,4.709619341563786,4.620576131687243,4.592592592592593,4.545267489711934,4.623819898329702,4.435073627844712,4.483091787439614,4.5257452574525745,4.411058946270214,4.469005847953216,4.442901234567901,4.5243974132863025,4.318138651471985,4.607787274453941,4.514660493827161,4.632038542607648,4.337208658583846,4.572310405643739,4.466868228772991,4.495648654118599,4.588298443370907,4.518518518518518,4.61853098890136,4.57626443647949,4.53402239448751,4.520642506305589,4.513117283950617,4.532423651721897,4.551346801346801,4.580246913580247,4.4927048260381595,4.347839506172839,4.498765432098765,4.3988191089640365,4.530547641658753,4.452522481329066,4.571315996847912,4.280864197530864,4.702880658436214,4.364454732510288,4.489078822412155,4.608343976160068,4.470542272230036,4.532855436081243,4.4119425547996975,4.383799003682045,4.400091449474165,4.546913580246914,4.626004311189496,4.677777777777778,4.283717679944095,4.307307307307307,4.546913580246914,4.484861845972957,4.499332665999333,4.484651317984651,4.578297595841455,4.6725711218464845,4.295173961840629,4.3361048122952885,4.240592592592592,4.485432098765432,4.332033788174139,4.453668227614588,4.406427591612776,4.519970951343501
BCL2L11,4.505565674964582,4.533150434385003,4.588298443370907,4.614987080103359,4.489711934156379,4.465172991921963,4.6196664500758065,4.435539364501113,4.542008084780946,4.494252873563219,4.4446287083103,4.3162278744608065,4.60641975308642,4.5176040237768635,4.454320987654321,4.244419503678763,4.392074870569494,4.213963388676032,4.602166792642983,4.468186134852801,4.523456790123457,4.419004863449308,4.317935913441532,4.53038005325587,4.563037785260008,4.489832970225127,4.56682769726248,4.477597447634901,4.3666250520183105,4.54171343060232,4.578068264342774,4.435401431155147,4.330151457299223,4.344135802469136,4.476798637718178,4.374127750939345,4.432666382857954,4.327881994548661,4.625372498935717,4.671039094650205,4.5893004115226335,4.56141975308642,4.518930041152263,4.591140159767611,4.413952104715157,4.459205582393988,4.498946100572117,4.391410189532255,4.445873944119558,4.421810699588478,4.497550460513423,4.305792972459639,4.57644824311491,4.489197530864198,4.5984643179765134,4.321984166528262,4.54320987654321,4.444192491811539,4.4705525197328475,4.557702630166398,4.491956603067714,4.585359770544955,4.546794105933891,4.507034165948895,4.493959909730519,4.486574074074074,4.505133203378818,4.523569023569023,4.551123773345996,4.469135802469136,4.332510288065843,4.476543209876543,4.380300590445518,4.504273504273504,4.430422191739064,4.542159180457053,4.269705603038936,4.6646090534979425,4.3485082304526745,4.464704020259576,4.576841209025117,4.447101109548367,4.50557546794106,4.392542202066012,4.3657136668832575,4.381572930955647,4.519135802469136,4.592494611013129,4.641152263374486,4.273002562310738,4.294461127794461,4.519135802469136,4.4600235155790715,4.474307640974308,4.45995995995996,4.548083170890188,4.637144390767579,4.2805836139169475,4.321365583270345,4.230913580246914,4.460987654320988,4.318388564002599,4.43138924364978,4.387223202038017,4.493536673928831
BCORL1,4.817083692838654,5.122157244964263,5.297482837528604,5.540187678498572,4.654754169374052,4.6196664500758065,5.431825176977531,4.448375035950532,4.952647104486881,5.02843315184513,4.540455616653574,3.778270978651448,5.380350877192982,4.897335932423652,4.726315789473684,3.4214070529860003,4.275325410299944,3.195644283121597,5.360902255639098,4.7881241565452095,5.554385964912281,4.526315789473684,3.781785925487877,5.124183006535947,5.229133439659756,4.664086687306502,5.26697177726926,4.715947171299034,4.127340823970037,5.115895800106326,5.1916064671482625,4.459157447759527,3.8388497015735212,3.9539473684210527,4.673018753781005,4.160183066361556,4.437184916313773,3.899749373433584,5.592256503327284,5.729897660818714,5.647953216374269,5.083771929824562,5.2742690058479536,5.371517027863777,4.34580426971042,4.696796338672769,4.7496790757381255,4.3049172226340495,4.455032317636196,4.406432748538012,4.709551656920078,3.9257759784075574,5.363022941970311,4.844298245614035,5.324989302524604,3.8408465108960743,5.165413533834586,4.522019334049409,4.632154155881507,5.135011441647597,4.79638490164806,5.233209285840865,5.157894736842105,4.877600979192167,4.670816827013771,4.7375,4.769713758079409,5.048644338118022,5.327035537561853,4.84688995215311,3.8687134502923977,5.3052631578947365,4.109458428680397,4.979757085020243,4.435131037470219,5.130645763344532,3.6626180836707154,5.66374269005848,4.017178362573099,4.572649572649572,5.3345432546884455,4.528980679546969,4.878041878890775,4.1693519513068384,4.086026469682979,4.247238466536712,4.955263157894737,5.2137287663603455,5.539181286549708,3.601125455147302,3.7811759127548603,4.955263157894737,4.591060985797828,4.628971076339497,4.608108108108108,5.018005540166205,5.723874904652937,4.578947368421052,3.872359470103831,3.41080701754386,4.571578947368421,3.899353647276085,4.341399475700746,4.248677248677248,4.7176470588235295
BPGM,4.44235420585864,4.40922890103218,4.439059158945118,4.4186046511627906,4.458409228901032,4.435539364501113,4.448375035950532,4.437516796560065,4.457710721021326,4.381571509327304,4.42745289943724,4.436500098755679,4.4432786885245905,4.439587128111718,4.398688524590164,4.425898327537672,4.420676890534109,4.4381006218202375,4.442288390766143,4.402269861286254,4.301639344262295,4.399403874813711,4.437649659237429,4.405335904853745,4.422752111276702,4.456605593056895,4.419101924447612,4.429729231902744,4.4216246085835325,4.4212617983109785,4.450016072002572,4.434478437924193,4.44042589149907,4.432377049180328,4.438665912945167,4.424091233071989,4.435462596570567,4.424739195230998,4.420011305822499,4.446379781420765,4.362841530054645,4.452868852459017,4.35792349726776,4.426229508196721,4.4331424056883275,4.410905203136137,4.449020391843263,4.413992149619026,4.448144952545298,4.4289617486338795,4.456154046317981,4.390920554854981,4.409836065573771,4.415983606557377,4.4456217512994805,4.430493273542601,4.412177985948477,4.431247908999666,4.439398011287288,4.436920883820385,4.43070044709389,4.450074515648286,4.418297197250133,4.430804422417079,4.460250308478759,4.4362704918032785,4.452286453839517,4.413561847988078,4.3862967633459435,4.390461997019374,4.436612021857924,4.298360655737705,4.442979330007128,4.404791929382093,4.43311070633475,4.418555981862574,4.403530895334174,4.453005464480874,4.4238387978142075,4.445565363598151,4.416619559072923,4.433907449678356,4.428609201480698,4.444964871194379,4.430112165660052,4.41378263509411,4.428688524590164,4.462789487379651,4.451366120218579,4.421899164862357,4.409171466548516,4.428688524590164,4.436768149882904,4.445059813912273,4.432210899424014,4.450819672131147,4.405559515324305,4.217585692995529,4.422382067581131,4.412327868852459,4.4416393442622955,4.412424503882657,4.455247785943094,4.421545667447306,4.449373191899711
C19orf26,4.643696503699405,4.777122254998361,4.880723355136591,4.99012142416135,4.57194362504097,4.542008084780946,4.952647104486881,4.457710721021326,4.719555172683844,4.715288373512359,4.498216880200766,4.1240004264847,4.92424778761062,4.6820714519829565,4.574513274336283,3.940913560382587,4.362689123608336,3.8352151357949342,4.914032869785082,4.607215793056501,4.932743362831858,4.475730758916599,4.126578502535548,4.775984730175256,4.837758112094395,4.575481520041645,4.854559445940747,4.586656060455404,4.2897484339266185,4.780638240815232,4.834287697379837,4.462037089228341,4.156281361189673,4.209070796460177,4.5701861458651205,4.307041169680646,4.45122571457634,4.177910584990231,5.016783643576442,5.099741887905605,5.012979351032448,4.782079646017699,4.82448377581121,4.910463300364394,4.4043074954686,4.5669488264717195,4.613857112022448,4.3736756824130625,4.4668840242198415,4.432153392330384,4.597836774827925,4.172226004084411,4.897208985704561,4.642699115044247,4.898014245629182,4.151950474225168,4.8002528445006325,4.49087953765577,4.5504134629334105,4.798768757214313,4.62697774202199,4.8548315008492,4.799885812161005,4.667421280098786,4.580835474355315,4.601216814159292,4.625617140195621,4.742960579243765,4.866348990242796,4.629927594529365,4.169174041297935,4.807079646017699,4.292227779915352,4.7038801906058545,4.4489238501037915,4.786480888721521,4.049012933968686,5.070501474926254,4.23580383480826,4.523939187656002,4.886786695148001,4.495799260669878,4.666714244932915,4.32309915116489,4.273792889302904,4.344968862667978,4.7048672566371685,4.852156201713724,5.007669616519174,4.027884454833862,4.110619469026549,4.7048672566371685,4.528234302570586,4.551662281750778,4.534441521167185,4.748253376804844,5.074259330511735,4.404666130329847,4.163175004515081,3.928778761061947,4.521238938053098,4.170936190032604,4.414301698708168,4.349627756707402,4.598125976054138
C3orf72,4.625777275296778,4.823754789272031,4.940029985007496,5.097834803528468,4.519369944657301,4.494252873563219,5.02843315184513,4.381571509327304,4.715288373512359,4.760998810939358,4.441585177560474,3.94557540506855,4.9944827586206895,4.67816091954023,4.564137931034483,3.7098571926158135,4.267519466073415,3.564328180737218,4.9817030260380015,4.604774535809018,5.101149425287356,4.428422152560084,3.946144905075552,4.824881676808655,4.894461859979101,4.5263691683569975,4.91904047976012,4.557148392096087,4.169701666020922,4.820271682340648,4.8681541582150105,4.385460136173951,3.9854248133665124,4.060344827586207,4.528537455410226,4.194902548725637,4.374950455806579,4.022391401701746,5.1319857312722945,5.223419540229885,5.165517241379311,4.800862068965517,4.9206896551724135,4.987829614604462,4.314914831740756,4.541979010494753,4.582001682085786,4.284604176784847,4.389110707803993,4.35632183908046,4.556102900930487,4.039787798408488,4.981432360742706,4.642241379310345,4.958368376787216,3.9819081490644814,4.852216748768473,4.432090077410274,4.5019785189372525,4.833583208395802,4.609195402298851,4.896900034831069,4.847608453837597,4.664795509222133,4.530960326288469,4.569396551724138,4.595281306715064,4.775862068965517,4.9566755083996465,4.6426332288401255,4.003448275862069,4.937931034482759,4.162668665667167,4.730327144120247,4.373350361856109,4.829787234042553,3.8620689655172415,5.180459770114942,4.101293103448276,4.465959328028293,4.963139120095125,4.434744652989961,4.662402669632925,4.201970443349754,4.142468239564428,4.248403575989783,4.7155172413793105,4.886425834701697,5.098850574712643,3.828887443070917,3.941752096924511,4.7155172413793105,4.473727422003284,4.502795899347624,4.484156570363467,4.757713248638838,5.217391304347826,4.429467084639499,4.003166783954962,3.695448275862069,4.463448275862069,4.023593466424682,4.315101070154578,4.250136836343733,4.56105476673428
